Name,Website,Rating,Email,Phone Number,International Phone Number,Address,Latitude,Longitude,Administrative Area Level 1,Administrative Area Level 3,Route,Country,Google URL,Facebook Link,Youtube Link,Linkedin Link,Instagram Link,Twitter Link,Admission Link,About Us,Accreditation,Activities,Mission & Vision,Facilities,Fees,IGCSE,IB,BAC,AMERICAN,ABITUR,Supply List
New Sidi Gaber Language Schools - SLS,http://www.new-sls.net/,3.4,[],03 4305922,+20 3 4305922,.، أبيس، قسم العامرية، الإسكندرية، Egypt,31.1735532,29.9823818,قسم العامرية,أبيس,.,الإسكندرية,https://maps.google.com/?cid=15865959737322447809,,,,,,"['', 'http://www.new-sls.net/page/admission', 'http://www.new-sls.net/page/admission']",,,"Enter your e-mail and click ""subscibe"" to receive our latest news.",,,,0,0,0,0,0,
Schutz American School,http://www.schutzschool.org.eg/,4.5,[],03 5762205,+20 3 5762205,51 ش شدس، شدس، قسم الرمل، الإسكندرية، Egypt,31.241582,29.974442,,,51,,https://maps.google.com/?cid=5114853786553672342,,,,,,[''],,,,,,,0,0,0,0,0,
Forsan International School,https://www.facebook.com/Forsan-International-Schools-1612784519038129/,4.9,[],03 3835371,+20 3 3835371,"Ezbet El-Nozha, Qism Sidi Gabir, Alexandria Governorate, Egypt",31.2046951,29.9560576,,,Ezbet El-Nozha,,https://maps.google.com/?cid=3085751547959517924,https://www.facebook.com/Forsan.International.Schools/reviews?__xts__%5B0%5D=33.%7B%22logging_data%22%3A%7B%22page_id%22%3A1612784519038129%2C%22event_type%22%3A%22clicked_all_page_reviews%22%2C%22impression_info%22%3A%22eyJmIjp7InBhZ2VfaWQiOiIxNjEyNzg0NTE5MDM4MTI5IiwiaXRlbV9jb3VudCI6IjAifX0%22%2C%22surface%22%3A%22www_pages_home%22%2C%22interacted_story_type%22%3A%221076727669006899%22%2C%22session_id%22%3A%225f6c92c5b56607d948606f7d8f46cd51%22%7D%7D,,,,,[''],اضغط علي ‏‎alt‎‏ + ‏/‏ لفتح هذه القائمة,,,,,,1,0,0,1,0,
British School Of Alexandria - BSA,http://www.bsalex.net/,4.2,['info@bsalex.net'],03 5232764,+20 3 5232764,"Mahmoud Abou El Ela St, ROUSHDY، Qism Sidi Gabir, Alexandria Governorate, Egypt",31.225572,29.956254,Qism Sidi Gabir,ROUSHDY,Mahmoud Abou El Ela Street,Alexandria Governorate,https://maps.google.com/?cid=18136470904990721028,https://www.facebook.com/pages/British-School-of-Alexandria-BSA/511331442234913,,,,https://twitter.com/bsalexandria,"['', u'http://www.bsalex.net//admissions-parents']","The British School, Alexandria in few words...
The British School, Alexandria was established in 1984 in the grounds of the British Consulate. Located in the residential district of Roushdy, the school benefits from easy access to local resources. Over the past 30 years it has expanded onto five further sites, currently educates around 470 students aged 3 to 18 from 23 different countries and is continuing to grow.
We are a not-for-profit school that aims to offer the highest quality of British-style education to the local and expatriate communities. Most of our pupils remain at The British School, Alexandria for their entire school careers which gives us the time to build very strong working relationships with pupils and parents.
The British School, Alexandria employs full-time teachers with British teaching qualifications, supported by qualified part-time staff and teaching assistants. Class sizes are small and the school has a lovely family atmosphere. The school prides itself in its pastoral care and every child is treated as an individual. Expectations are high and SATs results are generally above those expected for the age group and IGCSE/GCSE results are excellent. Language support is available for non-English speaking students. All students study Arabic as the host country language. An extensive extra curricula programme is offered. A ""Friends of the School"" group organises regular activities, many of which raise funds both for the School and local charities.
Here in Alexandria staff feel safe and secure and are able to go about their daily business as usual. The general populace is welcoming and genuinely interested in foreigners who choose to live and work in Alexandria.  We believe we are living through a seminal moment in the history of the region and are eye witness to the ongoing development of democracy in Egypt. Through our Young Arab Voices project, which seeks to facilitate debate and discussion about the role of democracy and citizenship throughout the Middle East, we are actively involved in articulating the aspirations of a generation.","© Copyright 2013 - The British School, Alexandria - Site Map",,"© Copyright 2013 - The British School, Alexandria - Site Map",,,1,0,0,1,0,
Alexandria Language School,http://www.als-schools.org/,4.2,[],03 3300447,+20 3 3300447,"Gamila Abou Hread, As Soyouf Qebli (Include Izbat Derbanah), Qism El-Montaza, Alexandria Governorate, Egypt",31.230509,29.997273,Qism El-Montaza,As Soyouf Qebli (Include Izbat Derbanah),Gamila Abou Hread,Alexandria Governorate,https://maps.google.com/?cid=9698100902465877357,,,,,,[''],,,,,,,0,0,0,0,0,
Sidi Gaber Language Schools For Girls,,4.6,[],03 4243340,+20 3 4243340,Dr. Ismail Helmy St.، SEMOUHA، ALEXANDRIA، الإسكندرية، Egypt,31.21083,29.94600400000001,ALEXANDRIA,SEMOUHA,Dr. Ismail Helmy St.,الإسكندرية,https://maps.google.com/?cid=17837163727812731035,,,,,,[''],,,,,,,0,0,0,0,0,
Sidi Gaber Language School For Boys,http://www.slsforboys.com/,3.8,[],03 4241993,+20 3 4241993,"Izbat Saed, Qesm Sidi Gaber, Alexandria Governorate, Egypt",31.2109856,29.9459191,,,Izbat Saed,,https://maps.google.com/?cid=14830401603994581966,,,,,http://twitter.com/#%21/SLSforBoys,[''],,,,,,,0,0,1,1,0,
Pioneer Language School‎s,http://www.pioneers.simpleinformatics.com/,4.1,[],03 5357722,+20 3 5357722,ش مصطفى كامل، المندرة قبلي، قسم المنتزه، الإسكندرية، Egypt,31.2491795,30.0047092,قسم المنتزه,المندرة قبلي,ش مصطفى كامل,الإسكندرية,https://maps.google.com/?cid=15887688267880209961,,,,,,[''],,,,,,,0,0,0,0,0,
El Zahraa Language School,http://elzahraa.edu.eg/,3.3,[],03 5742503,+20 3 5742503,"Al Qasaei Bahri, Qesm AR Ramel, Alexandria Governorate, Egypt",31.2426481,29.9715309,,,Al Qasaei Bahri,,https://maps.google.com/?cid=7345578187303813936,,,,,,[''],,,,,,,0,0,0,1,0,
Taymour English School,http://www.taymourschool.com/,3.9,['taymour@taymourschool.com'],03 5044070,+20 3 5044070,14 ش رشدى، فلمنج، قسم الرمل، الإسكندرية، Egypt,31.2309447,29.95080949999999,,,14,,https://maps.google.com/?cid=4155859885390271053,https://www.facebook.com/pages/TES-1991/458531780852944?fref=ts,,,,,[''],,,,"&#13;
       &#13;
      &#13;
     &#13;
&#13;
 Admissions&#13;
             Dear Parents,&#13;
&#13;
You are kindly requested to read and fill in this form carefully. Please consider the following remarks a/o instructions: &#13;
&#13;
1- Both the registration form and the interview are integral parts of the admission procedures. No pupil will be admitted to T.E.S without being interviewed.&#13;
&#13;
2- An interview is merely an attempt and a means to assess the applicant, and thereby determine his/her specific potentials a/o needs; it is not tailored to reject him/her.&#13;
&#13;
3- In some situations and in coordination with parents, a certain applicant might be re-interviewed. However, this is not a rule but rather an exception based on the circumstances prevailing during a/o related to the interview.&#13;
&#13;
4- This application will not be taken into consideration without submitting the following on the interview date:&#13;
&#13;
&#13;
	Six (6) recent passport photograph of the applicant.&#13;
	The applicant’s computerized birth certificate.&#13;
	A photocopy or a statement of parents’ academic qualifications.&#13;
	A photocopy of parents’ I.D.&#13;
	A non-refundable applicant fee sum of L.E. 100.&#13;
	Certificate of attendance and latest report issued by the pupil’s current or former school.&#13;
&#13;
&#13;
     In case of acceptance the following to be completed in the student file:&#13;
&#13;
&#13;
	Medical report written and signed by a physician appointed by the school.&#13;
	In the case of KG2 upwards, regular transfer procedure to be followed.&#13;
&#13;
&#13;
In case of rejection or parents’ decline to show up, the school is liable to keep submitted documents for one month only.&#13;
&#13;
A foreign applicant will have to submit a photocopy of his/her own passport or a photocopy of the parent’s passport in which the applicant is being registered.&#13;
&#13;
 &#13;
&#13;
&#13;
&#13;
&#13;
&#13;
 &#13;
      &#13;
       &#13;
    &#13;
     &#13;
    &#13;",,,0,0,0,1,0,
