Name,Website,Rating,Email,Phone Number,International Phone Number,Address,Latitude,Longitude,Administrative Area Level 1,Administrative Area Level 3,Route,Country,Google URL,Facebook Link,Youtube Link,Linkedin Link,Instagram Link,Twitter Link,Admission Link,About Us,Accreditation,Activities,Mission & Vision,Facilities,Fees,IGCSE,IB,BAC,AMERICAN,ABITUR,Supply List
Nozha Language Schools,http://www.nozhaschools.com/,3.8,[],02 26218585,+20 2 26218585,"35 El-Shaikh Ali Abd El-Razik, Al Matar, Heliopolis, Cairo Governorate, Egypt",30.1133863,31.3537164,,,35,,https://maps.google.com/?cid=15146117100380809095,f_facebook.asp,http://www.youtube.com/user/nozhaschool,,,,"['', u'http://www.nozhaschools.com/f_admission.asp']",,,A Trip To Mazarita Farm (4th Primary Girls)&#13;,"&#13;
							Preparing  our students to be good citizens of great  benefit to themselves and their society by  developing their talents and potential .  We are keen on building students' knowledge  , skills and souls in a better way  and encouraging them to innovate and  excel throughÂ  various educational  activities .Â Â  Â &#13;",,,0,0,0,0,0,
Sahara Language School,http://www.saharaschools.com/,4.1,[],02 25903850,+20 2 25903850,5 ش سيف الدين المهرانى، الفجالة، الأزبكية، محافظة القاهرة‬، Egypt,30.0610079,31.2488803,,,5,,https://maps.google.com/?cid=9908287088792485582,,,,,,[''],,,,,,,0,0,0,0,0,
Manaret Heliopolis Language Schools,http://manaretheliopolis.com/,4,"['admin@manaretheliopolis.com', 'Info@manaretheliopolis.com', 'hr@manaretheliopolis.com']",02 24700238,+20 2 24700238,"Ahmed Hasan, Al Asherah, Nasr City, Cairo Governorate, Egypt",30.0524614,31.3626841,Nasr City,Al Asherah,Ahmed Hasan,Cairo Governorate,https://maps.google.com/?cid=8461213521415242207,https://www.facebook.com/,https://www.youtube.com/channel/UCaB-zT6bHWWFCRwfNHOZ7Vg,,,https://twitter.com/,[''],,,,,,,0,0,0,0,0,
Armenian Catholic Sisters' School,,4.6,[],02 24177797,+20 2 24177797,17 ش البادية، الماظة، مصر الجديدة، محافظة القاهرة‬، Egypt,30.0886116,31.3363305,,,17,,https://maps.google.com/?cid=3140602045189921522,,,,,,[''],,,,,,,0,0,0,0,0,
Lycee Francais School,http://www.lyceefrancaisschool.com/,4.1,[],02 24603321,+20 2 24603321,"42 Shoubra Street، 42 ش شبرا، Gazirat Badran, Rawd Al Farag, Cairo Governorate, Egypt",30.07036129999999,31.2445834,,,42,,https://maps.google.com/?cid=6117967838226059504,http://facebook.com/LyceeFrancaisShoubra,http://www.youtube.com/LyceeFrancaisShoubra,,,https://twitter.com/LyceeFrancais,[''],,,,,,,0,0,0,0,0,
Manaret L Eman School,http://www.manareteleman.com/,3.5,[],02 29293991,+20 2 29293991,"At Taseah, Nasr City, Cairo Governorate, Egypt",30.05264749999999,31.376645,,,At Taseah,,https://maps.google.com/?cid=2704676965782194902,http://www.facebook.com/pages/MELS/106673989443562?ref=stream,http://www.youtube.com/user/manareteleman,,,,"['', u'http://www.manareteleman.com/admission.php']",,,,,,,0,0,0,1,0,
St. Fatima Language School,http://www.stfatima.edu.eg/,3.8,[],02 22600803,+20 2 22600803,"66 Ismail Al Kabbani, Al Manteqah Al Oula, Nasr City, Cairo Governorate, Egypt",30.0589859,31.3336589,,,66,,https://maps.google.com/?cid=13356513173804335044,,,,,,[''],,,,,,,0,0,0,1,0,
Alam El Din Private Language Schools,http://www.alameldeenschools.com/,3,[],02 27949586,+20 2 27949586,47 Mohmed Ezz El Arab St.، KASR EL AINY، السيدة زينب، محافظة القاهرة‬، Egypt,30.0355994,31.2347578,,,47,,https://maps.google.com/?cid=13547847406784243464,https://www.facebook.com/alameldeenlanguageschools,,,,,[''],"&#13;
                    &#13;
                    &#13;
                    تاريخ المدرسة&#13;
                    &#13;
                    &#13;
                        &#13;
1919  صدر قرار من سعد زغلول زعيم حزب الوفد بفتح مدارس للتعليم الخاص بمصر  ثم بدأ بكتاب الشيخ علم الدين فى شارع قوله بحى عابدين الذى وهبه للتعليم .&#13;
&#13;
 1926  قام أ/ حسين السيسى عضو حزب الوفد بعمل رخصه للمدرسة بأسم الشيخ علم الدين و كانت فى شارع سامى بحى  عابدين ثم نقلت الى مدرسة الطليعة بشارع عز العرب ثم نقلت مره اخرى الى فيلا باممبوس ارسنطو احد الارمن.&#13;
&#13;
  1926  تولى أ/ حسين السيسى و بدأت المدرسة بالمرحلتين الأبتدائيه و الاعدادية و توفى عقب وفاه ابنه فى حادث سيارة عام 1961&#13;
&#13;
 1961  تولى أ / محمود السيسى  وكان يعمل بقلم الاستعلامات بوزاره الثقافة ايام الشيخ عبد الرازق حاتم و توفى عام 1967&#13;
&#13;
 1967  تولى رفيق السيسى و كان من اسوء عهود المدرسه توفى فى ديسمبرعام 1973 أثناء النكسة تم ايقاف الامتحانات عقب امتحان اللغه العربيه ثم تم استئنافه.&#13;
&#13;
 1973  تولى أ/ وجدى السيسى و بدأ عصر النهضة  بنى دور للأعدادى ورياض الاطفال.&#13;
 فتح قسم للغات.&#13;
 بنى مبنى للثانوى.&#13;
 14 اتوبيس للمدرسة.&#13;
&#13;
  كانت له علاقات بوزاره التعليم  وزير التعليم أ\ منصور حسين – د\ مصطفى كمال حلمى وزير التعليم  وايضا أ \ د \ فتحى سرور.&#13;
  كان له دخل فى قرارات الوزارة توفى عام 1987.&#13;
&#13;
 1987 تولت ناديه الفولى زوجته "" أدارة مؤقتة "".&#13;
&#13;
 1990  مهندس ( محسن عبد الله ) عقب زيارتة أمريكا.&#13;
  أدخل ثانوى بنين للمدرسة فى عهد أ / حسن جاويش مدير التعليم الخاص.&#13;
 بنى مبنى للغات الابتدائى.&#13;
  قسم المدرسة الى بنين وبنات.&#13;
  وتوفى فى 2\10\2006 نتجة لحادث سيارة.&#13;
&#13;
 2006  تولت أ/ هادية ممدوح زكى و كانت فترة انتقاليه&#13;
&#13;
  2008 تولى مهندس باسم محسن بفكر تطويرى&#13;
-اعادة البنية الحتية للمدرسة&#13;
-وضع هيكل إدارى لتوظيف الكفاءات &#13;
-إنشاء وتطوير فناءى المدرسة الداخلى والخارجى &#13;
-إنشاء ملعب خاص بالأطفال&#13;
-إنشاء مبنى تكنولوجى على احدث مستوى&#13;
-إنشاء أكبر مسرح مدرسى فى الإدارة &#13;
-تطوير الاستقبال بالمدرسة&#13;
-وضع نظام شبكات للتواصل داخل المدرسة &#13;
عن الأنترنت&#13;
-عمل موقع اليكترونى&#13;
-وضع كاميرات مراقبة فى كل أنحاء المدرسة &#13;
-فتح الدور العلوى للمرحلة الثانوية&#13;
-تكريم الطلاب المتفوقين فى المدارس &#13;
المحيطة والحكومية&#13;
-الحصول على شهادة اعتماد جودة التعليم &#13;
التربوى من مجلس الوزراء&#13;
ويتوالى التقدم والازدهار......&#13;
  &#13;
&#13;
&#13;
                    &#13;
                &#13;",,,,,,0,0,0,1,0,
The Egyptian Language School,https://www.els-egypt.com/,4.2,"['elsians@els-egypt.com', 'kgs@els-egypt.com', 'primary@els-egypt.com', 'Preparatory@els-egypt.com', 'secondary@els-egypt.com', 'girlsschool@els-egypt.com', 'eais@els-egypt.com', 'ebis@els-egypt.com', 'eais.kg@gmail.com', 'nasrcity-elsians@els-egypt.com', 'octoberelsians@els-egypt.com', 'admission-6th-oct@els-egypt.com', 'eais.6oct@els-egypt.com', 'director.6oct@els-egypt.com', 'hr.op.6@els-egypt.com', 'student.affairs@els-egypt.com']",02 24014405,+20 2 24014405,"Al Hadiqah Ad Dawleyah, Nasr City, Cairo Governorate, Egypt",30.04696389999999,31.3312734,Cairo Governorate,Al Hadiqah Ad Dawleyah,Nasr City,Egypt,https://maps.google.com/?cid=9709960276519789046,http://www.facebook.com/sharer/sharer.php?text=&u=https://www.els-egypt.com/,,http://www.linkedin.com/shareArticle?mini=true&url=https://www.els-egypt.com/,,http://twitter.com/share?text=&url=https://www.els-egypt.com/,"['', 'https://www.els-egypt.com/admission-process/', 'https://www.els-egypt.com/admission-process/', 'https://www.els-egypt.com/admission-process/']","Mission and Vision

“To teach for life … not for school”
Our goal is to impart the academic knowledge and life skills that our students need to become critical thinkers and problem solvers to excel academically, and also to instill the values of respect, responsibility and a collective consciousness. We teach for life to allow our students to succeed beyond their schooling and become positive contributors as citizens of their communities at large.
EAIS 6 Keys:
* critical thinking  * problem solving * academic excellence  * respect * responsibility * citizenship
 
Expectations / Values and Beliefs

School Quality Policy 
In quest for perfection, we are determined to bring up a new generation equipped with efficient and effective tools to face the challenge of ever-changing professional demands in life beyond school. The entire EAIS family endeavors to create constancy of purpose towards improvement of the student body and the service provided to them.
We aspire to develop outstanding students who use discipline, motivation and self direction to reach their fullest potential.
Means to achieve our goals reside in providing training for students, teachers and administrators, creating a democratic environment and spirit of teamwork amongst all members of the school family.

Beliefs: At EAIS we believe . . . Students’ learning needs are the primary focus of all decisions impacting the school’s educational program.
Each student is a valued individual with unique intellectual, physical, social and emotional needs.
All students are capable of learning and need to apply their learning skills in meaningful contexts.
A student’s self esteem is enhanced by positive relationships and mutual respect among students and faculty.
Embracing diversity strengthens individuals and enriches life.
Every student can and should learn.

Values: At EAIS we commit to . . .

Have a clear view of where we are going.
Strive constantly to recognize the achievements of all students.
Encourage staff and students to achieve their highest potential.
Nurture the uniqueness and individualism of every child.
Guide our students in a way that will encourage them to satisfy the needs of their society and improve it.
Develop each student’s sense of self- esteem and self-respect.
Employ an excellent staff who is highly motivated and committed.
Have an innovative and challenging curriculum.
Be committed to education as a life- long process.
Develop strong parent- teacher- student cooperation.


Student Expectations The Egyptian American International School has the highest standards of expectations for students.
Students are expected to…

Be respectful at all times- respectful of themselves, their fellow classmates, the faculty and staff, and their school.
Adhere to school rules at all times or face proper consequences.
Speak in English at all times.
Be on time- to school, classes, and various school events.
Be in proper school uniform.
Work hard and diligently.
Be a role model at all times- in and out of school.
Have a positive school ethic.
Set and meet personal goals.
Believe that there is nothing that cannot be achieved through hard work and perseverance.



 
History / Profile

The Promise of a Good EducationThe Egyptian American International School (EAIS) – the American Division of the Egyptian Language School (ELS) – was first accredited in 2003 and holds accreditation from NCA-CASI, a division of Advanc-Ed.
Since its birth EAIS has followed the ELS mission “teach for life” to prepare students for higher education, employment, and beyond. In each grade level from KG1 through grade 12, our teachers advise, assist, monitor, and motivate our students. The faculty is comprised of dedicated and professional qualified American and foreign teachers.

Curriculum &amp; Assessment The curriculum throughout the stages is based on US National Standards in association with Egyptian National Standards in Science and Math. Our American Curriculum is followed by using American textbooks and International resources. All courses are designed to allow students maximum application of topics developing their personalities, creativity, logical, analytical and critical thinking.
In addition to a full course load, students are also given intense preparation for the SAT examination, giving them the full qualifications to apply to both local and international universities.
In addition to continuous assessment the school administers two Mid-Semester Exams and 2 Semester examinations per year. Additionally, the MAP (Measured Academic Progress) Test is administered to all our students from grades 2 to 10- two times a year (fall/ spring) to assess their performance against their peers as well as their progress throughout the year.

Grading Students are graded based on various forms of assessment, class participation, homework, classwork, projects, and behavior. EAIS believes in a well rounded student and gives a variety of opportunities to allow students to shine.

Academic Support Teachers and administrators will convene on a regular basis to determine students who need to be placed on an academic support program. These students will be closely monitored as well as given additional extra help in the subjects needed.

Promotion to the Next Grade Level Students must receive a passing grade of 60% (D-) or higher in all subjects in order to be promoted to the next grade level. Arabic, Religion, and Arabic Social Studies passing grades are from 50% as per the Ministry.
A grade of F in 1 or 2 subjects will result in a re-exam in the subjects failed. The date of the re-exam will be determined by the school administration and cannot be rescheduled. Failure to attend re-examination will result in a grade of F. Passing the re-exam will result in a passing mark of 60% (D-). Failing the re-exam will result in an F.
A grade of F in 3 or more subjects will result in the repetition of the year. 

Graduation Requirements &amp; the SAT

Student entrance to universities (local or international) requires the students to achieve scores that are based on 60% from SAT scores and 40% from school course work. The school provides intensive and professional SAT classes beginning grade 10 to prepare students to tackle SAT exams and achieve the best results.
Students have 12 opportunities to sit for SAT I and SAT II Subject Exams throughout grades 11 and 12. Students begin extensive SAT Preparation in grade 10 and continue with assistance from school through grade 12.
To be granted admission to any institute of higher learning in Egypt, students must receive a total minimum score of 1200 on the SAT for private universities, and 1490 for public universities. Students graduation scores are calculated by taking 40% of the top 8 marks received in grade 10 (max. of 1 grade), grade 11 (max. of 3 grades) and grade12 (min. of 5 grades), and 60% of the SAT score. Some universities also give a 15% bonus for SAT II examinations taken (must have a total score of over 1000 on two exams).
The only SAT II examinations recognized in Egypt are math level I and II, biology, chemistry, and physics. Passing marks and subject requirements are subject to change based on Egyptian Ministry of Education and university requirements. Individual consulting is conducted throughout the year with students and parents to estimate students’ graduation results and provide counseling with regard to university choices.
EAIS offers SAT registration help. More information will be provided from the high school GDS.",,"&#13;
		&#13;
			All rights are reserved to Egyptian Language School (ELS)&#13;
		&#13;
		&#13;
	&#13;",,"&#13;
		&#13;
			All rights are reserved to Egyptian Language School (ELS)&#13;
		&#13;
		&#13;
	&#13;",,0,0,0,1,0,The content of this page is restricted. Please login and try again.
Sunrise Language School,,4.1,[],02 26235466,+20 2 26235466,"14 Badee Khayri, HELIOPOLIS، Qism El-Nozha, Cairo Governorate, Egypt",30.1184498,31.3517508,,,14,,https://maps.google.com/?cid=7258932378890576952,,,,,,[''],,,"&#13;
		&#13;
			All rights are reserved to Egyptian Language School (ELS)&#13;
		&#13;
		&#13;
	&#13;",,,,0,0,0,1,0,
