Name,Website,Rating,Email,Phone Number,International Phone Number,Address,Latitude,Longitude,Administrative Area Level 1,Administrative Area Level 3,Route,Country,Google URL,Facebook Link,Youtube Link,Linkedin Link,Instagram Link,Twitter Link,Admission Link,About Us,Accreditation,Activities,Mission & Vision,Facilities,Fees,IGCSE,IB,BAC,AMERICAN,ABITUR,Supply List
German School in Hurghada,http://www.deutsche-schule-hurghada.de/,4,['sec@deutsche-schule-hurghada.de'],065 3443631,+20 65 3443631,"Bowling St, Qesm Hurghada, Red Sea Governorate 84511, Egypt",27.1891977,33.8282518,,,Bowling Street,,https://maps.google.com/?cid=4336421265516448664,https://www.facebook.com/Deutsche-Schule-Hurghada-538606916290462/?fref=ts,,,,,[''],,,,,,,1,1,0,1,0,
sunrise international school,,5,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2241393,33.8069339,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=17557387100001725655,,,,,,[''],,,,,,,1,1,0,1,0,
Saint Joseph School,,4.7,[],065 3462130,+20 65 3462130,Touristic Center، VILLAGES RD.، HURGHADA، البحر الأحمر، Egypt,27.1864572,33.8225965,HURGHADA,VILLAGES RD.,Touristic Center,البحر الأحمر,https://maps.google.com/?cid=11932432005677118410,,,,,,[''],,,,,,,1,1,0,1,0,
School Life Makers International (Happy American),,5,[],0,0,"Unnamed Road، Qesm Hurghada, Red Sea Governorate, Egypt",27.2358327,33.7921251,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=15436162886294249605,,,,,,[''],,,,,,,1,1,0,1,0,
Modern Egyptian School,,2,[],0,0,"الغردقة - الإسماعيلية، Qesm Hurghada, Red Sea Governorate, Egypt",27.29558249999999,33.7399781,,,الغردقة - الإسماعيلية,,https://maps.google.com/?cid=8151425675548728555,,,,,,[''],,,,,,,1,1,0,1,0,
Royal El Geel El Saed Private School,,4.5,[],065 3572639,+20 65 3572639,طريق النصر، الدهار، الغردقة، البحر الأحمر، Egypt,27.2357001,33.8327327,الغردقة,الدهار,طريق النصر,البحر الأحمر,https://maps.google.com/?cid=18415586137172975710,,,,,,[''],,,,,,,1,1,0,1,0,
School leader Mustafa Kamel primary common,,1.5,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2236295,33.8329701,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=1195773234560608809,,,,,,[''],,,,,,,1,1,0,1,0,
Rajac language Schools-hurghada,,0,[],0,0,"Al Sherka Al Port Saedeya, El-Zaytoun El-Bahareya, Qesm Hurghada, Red Sea Governorate, Egypt",27.2235117,33.8288301,Qesm Hurghada,El-Zaytoun El-Bahareya,Al Sherka Al Port Saedeya,Red Sea Governorate,https://maps.google.com/?cid=9771864762163521983,,,,,,[''],,,,,,,1,1,0,1,0,
Hurghada Middle School,,3.6,[],0122 060 2525,+20 122 060 2525,"طريق الحجاز، Qesm Hurghada, Red Sea Governorate, Egypt",27.248703,33.8097113,,,طريق الحجاز,,https://maps.google.com/?cid=4665609507445345056,,,,,,[''],,,,,,,1,1,0,1,0,
"Mubarak, 11 public primary schools",,2.6,[],0,0,"شارع 5, حي مبارك 11, الأحياء, الغردقة، Qesm Hurghada, Red Sea Governorate 84734, Egypt",27.2909052,33.73684110000001,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=3420758617006912544,,,,,,[''],,,,,,,1,1,0,1,0,
Sunrise Language School Hurghada,,5,[],0109 233 9647,+20 109 233 9647,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2237797,33.8067274,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=17662439058099464016,,,,,,[''],,,,,,,1,1,0,1,0,
Future Pioneers Languages Schools,,4.2,[],0111 772 8444,+20 111 772 8444,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2914037,33.7292721,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=14248292077770067428,,,,,,[''],,,,,,,1,1,0,1,0,
El Minaa Mixed Secondary School,,5,[],065 3453114,+20 65 3453114,"الغردقة, سقالة، Qesm Hurghada, Red Sea Governorate, Egypt",27.2304798,33.8394194,,,Egypt,,https://maps.google.com/?cid=17108370226974313841,,,,,,[''],,,,,,,1,1,0,1,0,
Royal Schools,http://www.royalelgeel.com/,5,[],065 3572639,+20 65 3572639,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2389809,33.83537499999999,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=1671908931521156983,,,,,,[''],,,,,,,0,0,0,0,0,
Saad Zaghloul Preparatory School,,0,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2448914,33.8199681,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=11921152725628872649,,,,,,[''],,,,,,,0,0,0,0,0,
School of Omar Ibn al-Khattab Prep Boys,,5,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2479416,33.8301421,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=2283996773925389386,,,,,,[''],,,,,,,0,0,0,0,0,
Youth School for Basic Education,,0,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2415848,33.7889852,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=5680126395962042654,,,,,,[''],,,,,,,0,0,0,0,0,
"Creative Minds American School of Hurghada (C.M.A.S.), Egypt",,1,[],0101 455 0076,+20 101 455 0076,"Red Sea Pharoan, Qesm Hurghada, Red Sea Governorate, Egypt",27.1890957,33.8249516,,,Red Sea Pharoan,,https://maps.google.com/?cid=10831104802184921250,,,,,,[''],,,,,,,0,0,0,0,0,
School Rjac Languages,http://rajachurghada.net/,4.7,['info@rajachurghada.net'],0121 111 3154,+20 121 111 3154,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2240999,33.8283849,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=13196138896192535373,https://www.facebook.com/KGrajachurghada-1505736143009999,,,,,[''],,,,,,,1,1,0,1,0,
School shared secondary port,,5,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2188118,33.829565,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=13909435377885818269,,,,,,[''],,,,,,,1,1,0,1,0,
مدرسة حامد جوهر,,3.8,[],0100 123 4630,+20 100 123 4630,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2535453,33.79919040000001,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=10727845428511475335,,,,,,[''],,,,,,,0,0,0,0,0,
STEM Red Sea,,4.4,[],0,0,"Mubarak 11 شارع مدرسة المتفوقين بالغردقة, Qesm Hurghada, Red Sea Governorate, Egypt",27.2905548,33.7311253,,,Mubarak 11,,https://maps.google.com/?cid=7816623087245091537,,,,,,[''],,,,,,,0,0,0,0,0,
Go Wind. Windsurfing & Kitesurfing & Diving School,http://go-wind.com/,4.1,['info@go-wind.com'],0111 577 4366,+20 111 577 4366,"El Ahyaa Road, Hurghada, Egypt, Hurghada, Red Sea Governorate, Egypt",27.306012,33.729888,Red Sea Governorate,,Hurghada,Egypt,https://maps.google.com/?cid=11751256365120395443,https://www.facebook.com/gowindschool,http://www.youtube.com/channel/UCuChu7jwmHE34SAQv8IdvXw?feature=watch,,http://instagram.com/gowind_egypt/,,[''],,,,,,,0,0,0,1,0,
Kite School Hurghada,http://www.seastarbeaurivage.com/,5,"['info@seastarbeaurivage.com', 'sales@seastarbeaurivage.com']",0100 586 0843,+20 100 586 0843,"Rd. El Helal Division Dahar, Qesm Hurghada, Red Sea Governorate, Egypt",27.266484,33.8067773,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=11140974790028482103,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة الشهيد وليد الجعفري,,3,[],0,0,"قسم شرطة ثان بجوار رضا الوالدين, Qesm Hurghada, Red Sea Governorate, Egypt",27.2591083,33.8029652,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=17911956054759177031,,,,,,[''],,,,,,,0,0,0,0,0,
Future School,,0,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.26332469999999,33.797581,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=18105043089645889142,,,,,,[''],,,,,,,0,0,0,0,0,
Future pioneers language school,,0,[],0111 772 8111,+20 111 772 8111,El ahiaa، قسم الغردقة، البحر الأحمر، Egypt,27.2169304,33.83044409999999,,,El ahiaa,,https://maps.google.com/?cid=3556869991498299137,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة شدوان الابتدائيه,,1,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2347196,33.836703,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=878374396920673070,,,,,,[''],,,,,,,0,0,0,0,0,
Hassan Kamel Secondary School For Boys,,3,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2516776,33.8126024,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=15695941155692121236,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة طه حسين الابتدائية,,4.2,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2511924,33.8265962,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=14704897359837749742,,,,,,[''],,,,,,,0,0,0,0,0,
Hurghada Secondary School For Girls,,5,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2578957,33.8116067,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=12139152821558668408,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة الميناء التجريبية الرسمية,,4.3,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2206263,33.8304891,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=6489023901300867881,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة الأمل الابتدائية المشتركة,,1,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2484472,33.830942,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=17903443576508649426,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة الوفاء الإبتدائية,,0,[],0,0,"Aal Al Bahr, Qesm Hurghada, Red Sea Governorate, Egypt",27.2538341,33.8322771,,,Aal Al Bahr,,https://maps.google.com/?cid=3548423449141591180,,,,,,[''],,,,,,,0,0,0,0,0,
Elmina High School,,5,[],0,0,"Unnamed Road,, Qesm Hurghada, Red Sea Governorate, Egypt",27.2184921,33.82969180000001,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=5062729050276056344,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسه جمال عبدالناصر الثانويه بنات,,5,[],0,0,"Al Matafi, Qesm Hurghada, Red Sea Governorate, Egypt",27.2398886,33.8321923,,,Al Matafi,,https://maps.google.com/?cid=3019731441832673417,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسه الحجاز,,5,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2283733,33.8159005,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=12924518578744899958,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة محمد فريد الاعدادية,,5,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2201928,33.8314647,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=1663257212476380697,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة اسماء بنت ابي بكر الابتدائية,,4,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2573856,33.7985681,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=8591853377654647909,,,,,,[''],,,,,,,0,0,0,0,0,
Aden Marina. Shaviviana Sailing School,http://shaviviana.blogspot.com/2017/04/shaviviana-sailing-school.html,5,['Shadowyachts@gmail.com'],0128 336 5315,+20 128 336 5315,"Red Sea Governorate, Egypt",27.1784523,33.82805899999999,,,Red Sea Governorate,,https://maps.google.com/?cid=10959446398643908071,,,,,,[''],,,,,,,1,0,0,1,0,
Ecole Fraçaise,http://efhurghada.com/,4,"['helene@efhurghada.com', 'bouchra@efhurghada.com', 'secretariat@efhurghada.com', 'info@efhurghada.com']",0106 546 6573,+20 106 546 6573,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2892545,33.7322411,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=13421914151694076678,https://www.facebook.com/EcoleFrancaise.FrenchSchool.Hurghada,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة الغردقة التجريبية لغات,,3.7,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2518765,33.8135493,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=8954976051170528603,,,,,,[''],,,,,,,0,0,0,0,0,
Mirage Motorcycle School,,1,[],0100 384 0057,+20 100 384 0057,"Qesm Hurghada, Red Sea Governorate, Egypt",27.21927149999999,33.8228005,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=11597405678117511809,,,,,,[''],,,,,,,0,0,0,0,0,
Frensh School,,0,[],0,0,"شارع 12 تقسيم النور, Qesm Hurghada, Red Sea Governorate, Egypt",27.2908098,33.7321472,,,شارع 12 تقسيم النور,,https://maps.google.com/?cid=11288167982212484221,,,,,,[''],,,,,,,0,0,0,0,0,
Hamed Gohar Prep School,,0,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2497912,33.8269268,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=17698697801831222922,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة الشهيد الطيار محمود فؤاد,,5,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.240162,33.826148,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=4309529127908414564,,,,,,[''],,,,,,,0,0,0,0,0,
Victoria Educational Pre-school,,0,[],0128 872 2808,+20 128 872 2808,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2853156,33.7616498,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=10833891032955337209,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة حامد جوهر الاعدادية,,0,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2497918,33.8267018,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=4172197313908350269,,,,,,[''],,,,,,,0,0,0,0,0,
المدرسة المصرية اليابانية,,0,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.1918492,33.8232267,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=9578237129125385152,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة الأحياء العامة,,1,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2792244,33.7718652,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=1872102786571312633,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسه السياحه والفنادق,,0,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.2158904,33.8385568,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=3191729924784787658,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة التقوى الأبتدائية المشتركة,,4,[],0,0,"Qesm Hurghada, Red Sea Governorate, Egypt",27.259074,33.8025342,Red Sea Governorate,,Qesm Hurghada,Egypt,https://maps.google.com/?cid=5976405036226312463,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة التقوي الابتدائية,,0,[],0,0,"الغردقة قسم الغردقة،, Qesm Hurghada, Red Sea Governorate, Egypt",27.2590699,33.8026635,,,Red Sea Governorate,,https://maps.google.com/?cid=15347233840787398486,,,,,,[''],,,,,,,0,0,0,0,0,
