Name,Website,Rating,Email,Phone Number,International Phone Number,Address,Latitude,Longitude,Administrative Area Level 1,Administrative Area Level 3,Route,Country,Google URL,Facebook Link,Youtube Link,Linkedin Link,Instagram Link,Twitter Link,Admission Link,About Us,Accreditation,Activities,Mission & Vision,Facilities,Fees,IGCSE,IB,BAC,AMERICAN,ABITUR,Supply List
مدارس الألسن الأزهرية AlAlson Azhari Language Schools,http://www.alalsonazharils.com/,1.7,['AlAlsonAzhariLS@gmail.com'],0100 338 8309,+20 100 338 8309,"Thalethah, Al Omraneyah, Giza Governorate, Egypt",30.0086095,31.2121778,,,Thalethah,,https://maps.google.com/?cid=11346889246251165738,https://www.facebook.com/AlAlsonAzhariLanguageSchools,https://www.youtube.com/channel/UCwND8soZwFKEz15rExPFkVw,,,,"['', 'https://www.alalsonazharils.com/admissions']"," 

Welcome to AlAlson Azhari Language School.  A single vision guides our goals and decision.  We aim to develop and empower students intellectually, morally, civically, socially, and physically.  To achieve such a vision, we select teachers who are qualified and experienced, adopt a curricular program that is strong and comprehensive, highly equip the school's facilities, and manage all three such elements with diligence and commitment.  We also believe in having a strong and collaborative relationship with parents and the greater school community.
""We aim to develop and empower students intellectually, morally, civically, socially, and physically.""
We adopt and extensive processes for seeking and selecting teachers and advisors who are qualified and experienced.  We choose teachers who have strong content knowledge, who can employ appropriate -pedagogical practices, who can utilize different instructional tools, especially technology, etc.  Throughout the school year, supervisors provide teachers support, coaching, and training.
QUALIFIED, EXPERIENCED,  AND DEDICATED STAFF
1
From English to science, from computer to art, we do our best to provide high quality curricular for the different subjects.  When appropriate, we supplement existing curricula.  In addition, we include inter-disciplinary and cross-curricular themes to achieve the school's vision of developing students holistically.
STRONG AND COMPREHENSIVE CURRICULA
4
Our school has the following features


	
	Spacious classrooms
	
	
	Air conditioned rooms
	
	
	Classrooms equipped with smartboards and projectors
	
	
	Classroom furniture facilitates collaboration and active learning
	
	
	Classrooms have internet access
	
	
	Class size does not exceed 24 students
	

3
EXPERIENCED AND SUPPORTIVE ADMINISTRATION
2
A RESPONSIBLE RELATIONSHIP WITH THE COMMUNITY
6
5
HIGHLY EQUIPPED FACILITIES
We believe that parents' role in their children's education is essential.  We believe in having a strong and collaborative relationship with parents so that we can provide children the full support the need in school and at home.
To achieve our school's vision, we believe in an administration that is supportive, encouraging, respectful, and collaborative with all the school stakeholders: students, teachers, parents, and administrative personnel.  It is the administration's duty to ensure that these beliefs translate not only into effective policies and procedures, but also into a positive school climate and safe learning environment.
THE

HOLISTIC

DEVELOPMENT

OF

ALL STUDENTS
A COLLABORATIVE RELATIONSHIP WITH PARENTS
As citizens privileged by the possession of knowledge, talents, abilities, and skills, it is our duty to contribute to the development of our community and society.",,"Address:

39 Ali Fahmi St., Next to the Higher Institute for Specific Studies

El Magzar Al Aali, El Lebini, El Maryoteyya

Nazlet Al Batran, Haram, Giza
© 2016 by AlAlson Azhari Language Schools

مدارس الألسن الأزهرية للغات",,"Address:

39 Ali Fahmi St., Next to the Higher Institute for Specific Studies

El Magzar Al Aali, El Lebini, El Maryoteyya

Nazlet Al Batran, Haram, Giza
© 2016 by AlAlson Azhari Language Schools

مدارس الألسن الأزهرية للغات",,0,0,0,1,0,
Al Bashaer School,http://www.albashaerschools.net/,4.1,"['American@albashaerschools.net', 'British@albashaerschools.net', 'National@albashaerschools.net', 'Admission@albashaerschools.net', 'Jobs@albashaerschools.net', 'jobs@albashaerschools.net', 'american@albashaerschools.net', 'british@albashaerschools.net']",02 25168243,+20 2 25168243,"El-Basatin Sharkeya, El-Basatin, Cairo Governorate, Egypt",29.9709772,31.3198948,,,El-Basatin Sharkeya,,https://maps.google.com/?cid=1845906969262212905,https://www.facebook.com/Al-Bashaer-Schools-109683205794240/timeline/,,,,,[''],,,,"Mission &amp; Vision

Our Mission is :

         To build a generation who :

Believes in God and obeying Him lovingly and choosingly .
Updated with the latest scientific developments and technology.
Well exposed to the entire world and well – rounded enough to cope with people from different cultures and backgrounds .

 Loving nature and proactively interacting with  surroundings .

Our Vision is :


To remain as one of the most prominent, moderate Islamic schools in Egypt. (current mission).
Compete at the global level from the educational perspective. (within 3 years).
Expansion and transfer of expertise, opening new schools in other Islamic or non Islamic countries (within 10 years).

 Establishing a university or institutes, having the same mission, in the future (within the coming 10 years).",,,1,0,1,1,0,
Al Bashaer International Schools,http://www.albashaerschools.net/,3,"['American@albashaerschools.net', 'British@albashaerschools.net', 'National@albashaerschools.net', 'Admission@albashaerschools.net', 'Jobs@albashaerschools.net', 'jobs@albashaerschools.net', 'american@albashaerschools.net', 'british@albashaerschools.net']",0,0,"El-Basatin Sharkeya, El-Basatin, Cairo Governorate, Egypt",29.97693990000001,31.2845956,,,El-Basatin Sharkeya,,https://maps.google.com/?cid=12008600627704070670,https://www.facebook.com/Al-Bashaer-Schools-109683205794240/timeline/,,,,,[''],,,,"Mission &amp; Vision

Our Mission is :

         To build a generation who :

Believes in God and obeying Him lovingly and choosingly .
Updated with the latest scientific developments and technology.
Well exposed to the entire world and well – rounded enough to cope with people from different cultures and backgrounds .

 Loving nature and proactively interacting with  surroundings .

Our Vision is :


To remain as one of the most prominent, moderate Islamic schools in Egypt. (current mission).
Compete at the global level from the educational perspective. (within 3 years).
Expansion and transfer of expertise, opening new schools in other Islamic or non Islamic countries (within 10 years).

 Establishing a university or institutes, having the same mission, in the future (within the coming 10 years).",,,1,0,1,1,0,
Maadi British International School,http://www.mbisegypt.com/,4.4,"['mbis@mbisegypt.com', 'headteacher@mbisegypt.com', 'rhayward@mbisegypt.com', 'bursar@mbisegypt.com', 'admissions@mbisegypt.com']",02 27058671,+20 2 27058671,الحى الرابع، المعادى، القاهرة، محافظة القاهرة‬، Egypt,29.9563666,31.31645289999999,القاهرة,المعادى,الحى الرابع,محافظة القاهرة‬,https://maps.google.com/?cid=5328660318198769756,http://www.facebook.com/mbisegypt,,,,,"['', 'https://www.mbisegypt.com/admissions', 'https://www.mbisegypt.com/admissions']","WELCOME
Head Teacher's Greeting

 

Welcome to the website of Maadi British International School. MBIS is a well-established and highly respected school in Cairo, offering first-class education to expatriate children. Our friendly, multi-cultural school truly represents the spirit of internationalism with nearly 330 children aged 2 to 13 years from 40 different countries.

 

The highly experienced British staff and small class sizes ensure individual attention, excellence in teaching and enjoyment of learning. Our children also benefit from specialist teachers in ICT, music, second languages, drama and PE. We combine high standards with a rich and broad range of learning experiences based on the English National Curriculum.

 

Our very attractive, well-resourced and stimulating learning environment encourages children to explore, question, experiment, build confidence and acquire independence. At MBIS, children quickly identify themselves as enthusiastic and effective learners, fully developing their potential within a framework of caring values and mutual respect.

 

MBIS provides a secure environment for children adjusting to relocation or starting school for the first time. Our door is always open. We recognize that parents and teachers need to work together to ensure all our children enjoy a happy and successful time.

 

Please telephone us or use the contact page to arrange a visit. I would be delighted to share with you the friendly, family atmosphere and positive ethos that makes MBIS so special.

​

 

​

Richard White

 

Head Teacher",,,,,,0,0,0,0,0,
Mavericks Blended Learning Schools,http://www.mavericks-hub.com/,4.2,[],0,0,"Al Abageyah, Qism El-Khalifa, Cairo Governorate, Egypt",29.9888966,31.3297878,,,Al Abageyah,,https://maps.google.com/?cid=13732150575559170650,,,,,,[''],,,,,,,0,0,0,1,0,
Alam El Din Private Language Schools,http://www.alameldeenschools.com/,3,[],02 27949586,+20 2 27949586,47 Mohmed Ezz El Arab St.، KASR EL AINY، السيدة زينب، محافظة القاهرة‬، Egypt,30.0355994,31.2347578,,,47,,https://maps.google.com/?cid=13547847406784243464,https://www.facebook.com/alameldeenlanguageschools,,,,,[''],"&#13;
                    &#13;
                    &#13;
                    تاريخ المدرسة&#13;
                    &#13;
                    &#13;
                        &#13;
1919  صدر قرار من سعد زغلول زعيم حزب الوفد بفتح مدارس للتعليم الخاص بمصر  ثم بدأ بكتاب الشيخ علم الدين فى شارع قوله بحى عابدين الذى وهبه للتعليم .&#13;
&#13;
 1926  قام أ/ حسين السيسى عضو حزب الوفد بعمل رخصه للمدرسة بأسم الشيخ علم الدين و كانت فى شارع سامى بحى  عابدين ثم نقلت الى مدرسة الطليعة بشارع عز العرب ثم نقلت مره اخرى الى فيلا باممبوس ارسنطو احد الارمن.&#13;
&#13;
  1926  تولى أ/ حسين السيسى و بدأت المدرسة بالمرحلتين الأبتدائيه و الاعدادية و توفى عقب وفاه ابنه فى حادث سيارة عام 1961&#13;
&#13;
 1961  تولى أ / محمود السيسى  وكان يعمل بقلم الاستعلامات بوزاره الثقافة ايام الشيخ عبد الرازق حاتم و توفى عام 1967&#13;
&#13;
 1967  تولى رفيق السيسى و كان من اسوء عهود المدرسه توفى فى ديسمبرعام 1973 أثناء النكسة تم ايقاف الامتحانات عقب امتحان اللغه العربيه ثم تم استئنافه.&#13;
&#13;
 1973  تولى أ/ وجدى السيسى و بدأ عصر النهضة  بنى دور للأعدادى ورياض الاطفال.&#13;
 فتح قسم للغات.&#13;
 بنى مبنى للثانوى.&#13;
 14 اتوبيس للمدرسة.&#13;
&#13;
  كانت له علاقات بوزاره التعليم  وزير التعليم أ\ منصور حسين – د\ مصطفى كمال حلمى وزير التعليم  وايضا أ \ د \ فتحى سرور.&#13;
  كان له دخل فى قرارات الوزارة توفى عام 1987.&#13;
&#13;
 1987 تولت ناديه الفولى زوجته "" أدارة مؤقتة "".&#13;
&#13;
 1990  مهندس ( محسن عبد الله ) عقب زيارتة أمريكا.&#13;
  أدخل ثانوى بنين للمدرسة فى عهد أ / حسن جاويش مدير التعليم الخاص.&#13;
 بنى مبنى للغات الابتدائى.&#13;
  قسم المدرسة الى بنين وبنات.&#13;
  وتوفى فى 2\10\2006 نتجة لحادث سيارة.&#13;
&#13;
 2006  تولت أ/ هادية ممدوح زكى و كانت فترة انتقاليه&#13;
&#13;
  2008 تولى مهندس باسم محسن بفكر تطويرى&#13;
-اعادة البنية الحتية للمدرسة&#13;
-وضع هيكل إدارى لتوظيف الكفاءات &#13;
-إنشاء وتطوير فناءى المدرسة الداخلى والخارجى &#13;
-إنشاء ملعب خاص بالأطفال&#13;
-إنشاء مبنى تكنولوجى على احدث مستوى&#13;
-إنشاء أكبر مسرح مدرسى فى الإدارة &#13;
-تطوير الاستقبال بالمدرسة&#13;
-وضع نظام شبكات للتواصل داخل المدرسة &#13;
عن الأنترنت&#13;
-عمل موقع اليكترونى&#13;
-وضع كاميرات مراقبة فى كل أنحاء المدرسة &#13;
-فتح الدور العلوى للمرحلة الثانوية&#13;
-تكريم الطلاب المتفوقين فى المدارس &#13;
المحيطة والحكومية&#13;
-الحصول على شهادة اعتماد جودة التعليم &#13;
التربوى من مجلس الوزراء&#13;
ويتوالى التقدم والازدهار......&#13;
  &#13;
&#13;
&#13;
                    &#13;
                &#13;",,,,,,0,0,0,1,0,
Dar El Tarbiah School,http://www.dareltarbiah.edu.eg/,3.7,"['national.bh@dareltarbiah.edu.eg', 'national@dareltarbiah.edu.eg', 'american.bh@dareltarbiah.edu.eg', 'american@dareltarbiah.edu.eg', 'ig.agouza@dareltarbiah.edu.eg', 'ig.zamalek@dareltarbiah.edu.eg', 'preig.zamalek@dareltarbiah.edu.eg']",02 37485532,+20 2 37485532,30 Amin El Rafeay St.، الدقي، الجيزة، Egypt,30.0362522,31.2147677,,,30,,https://maps.google.com/?cid=4425059606586963553,https://www.facebook.com/DarElTarbiah.Schools,http://www.youtube.com/user/DarElTarbiahSchools/videos,,,https://twitter.com/DETSchools,[''],,,,,,,1,0,0,1,0,
Refaa El Tahtawy Private Schools,http://www.refaaschools.com/,5,['info@refaaschools.com'],02 23915063,+20 2 23915063,7 El Sayed El Beblawy St.، DOWNTOWN، الدرب الأحمر، محافظة القاهرة‬، Egypt,30.03492189999999,31.2525569,,,7,,https://maps.google.com/?cid=8261471087653143927,,,,,,[''],,,,,,,0,0,0,0,0,
مدرسة البشائر المعادى الجديدة,http://www.albashaerschools.net/,1.5,"['American@albashaerschools.net', 'British@albashaerschools.net', 'National@albashaerschools.net', 'Admission@albashaerschools.net', 'Jobs@albashaerschools.net', 'jobs@albashaerschools.net', 'american@albashaerschools.net', 'british@albashaerschools.net']",02 29706625,+20 2 29706625,"El-Basatin Sharkeya, El-Basatin, Cairo Governorate, Egypt",29.9769381,31.2847304,,,El-Basatin Sharkeya,,https://maps.google.com/?cid=14495696072212630888,https://www.facebook.com/Al-Bashaer-Schools-109683205794240/timeline/,,,,,[''],,,,"Mission &amp; Vision

Our Mission is :

         To build a generation who :

Believes in God and obeying Him lovingly and choosingly .
Updated with the latest scientific developments and technology.
Well exposed to the entire world and well – rounded enough to cope with people from different cultures and backgrounds .

 Loving nature and proactively interacting with  surroundings .

Our Vision is :


To remain as one of the most prominent, moderate Islamic schools in Egypt. (current mission).
Compete at the global level from the educational perspective. (within 3 years).
Expansion and transfer of expertise, opening new schools in other Islamic or non Islamic countries (within 10 years).

 Establishing a university or institutes, having the same mission, in the future (within the coming 10 years).",,,1,0,1,1,0,
Futures British School مدرس فيوتشرز البريطانيه,,3,[],0122 316 6404,+20 122 316 6404,"Al Hay Al Asher, Nasr City, Cairo Governorate, Egypt",30.0297019,31.3630258,,,Al Hay Al Asher,,https://maps.google.com/?cid=11320773051275272241,,,,,,[''],,,,,,,1,0,1,1,0,
