Name,Website,Rating,Email,Phone Number,International Phone Number,Address,Latitude,Longitude,Administrative Area Level 1,Administrative Area Level 3,Route,Country,Google URL,Facebook Link,Youtube Link,Linkedin Link,Instagram Link,Twitter Link,Admission Link,About Us,Accreditation,Activities,Mission & Vision,Facilities,Fees,IGCSE,IB,BAC,AMERICAN,ABITUR,Supply List
The American International School in Egypt,http://www.aisegypt.com/,4.2,[],02 26188400,+20 2 26188400,"Taha Hussein, القاهرة الجديدة، Cairo Governorate 11371, Egypt",30.0361148,31.4209751,Cairo Governorate,القاهرة الجديدة,Taha Hussein,Egypt,https://maps.google.com/?cid=12386383667532866048,,,,,,[''],,,,,,,0,1,0,0,0,
Cairo English School,http://www.cesegypt.com/,4.1,['registrar@cesegypt.com'],02 22490200,+20 2 22490200,"Suez Rd, Cairo Governorate, Egypt",30.07943449999999,31.4509743,Cairo Governorate,,Suez Road,Egypt,https://maps.google.com/?cid=12253745591834344302,https://www.facebook.com/Cairo-English-School-135929057238402/,,,,,"['', u'http://www.cesegypt.com//admissions']",,,,,,,0,1,0,0,0,
"Modern English School, Cairo",http://www.mescairo.com/,4.5,['mescairo@mescairo.com'],02 26189600,+20 2 26189600,"Modern English School, Cairo Governorate 11835, Egypt",30.0250914,31.42409000000001,Cairo Governorate,,Modern English School,Egypt,https://maps.google.com/?cid=17879290199167941797,https://www.facebook.com/MESAlumni/,https://www.youtube.com/channel/UCjpbi96q8TnWWkyFPEr0QYw,"https://www.linkedin.com/company/3125730?trk=tyah&trkInfo=clickedVertical:company,entityType:entityHistoryName,clickedEntityId:company_3125730,idx:0",https://www.instagram.com/mescairo/,https://twitter.com/mescairo,[''],,,,"&#13;
 &#13;
  404 - File or directory not found.&#13;
  The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable.&#13;
 &#13;
&#13;","&#13;
 &#13;
  404 - File or directory not found.&#13;
  The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable.&#13;
 &#13;
&#13;",,1,1,0,1,0,
CES - Cairo English School,http://www.cesegypt.com/,5,['registrar@cesegypt.com'],02 24483433,+20 2 24483433,ميراج سيتى، القاهرة الجديدة، القاهرة، محافظة القاهرة‬، Egypt,30.0793491,31.45007530000001,القاهرة,القاهرة الجديدة,ميراج سيتى,محافظة القاهرة‬,https://maps.google.com/?cid=16657678291873704208,https://www.facebook.com/Cairo-English-School-135929057238402/,,,,,"['', u'http://www.cesegypt.com//admissions']",,,,,,,0,1,0,0,0,
Modern Education Schools,http://www.mes.edu.eg/,4.2,[],02 25416292,+20 2 25416292,"Street 2, Cairo Governorate 11835, Egypt",29.9987406,31.4294834,Cairo Governorate,,Street 2,Egypt,https://maps.google.com/?cid=11397723229945327868,https://www.facebook.com/Modern-Education-Schools-191041577705307/,,,,,"['', 'http://www.mes.edu.eg/admissions/', 'http://www.mes.edu.eg/admissions/']","The Modern Education School (MES) was established in 1997 by El-Shark Company, Chairman of Board Mr. Amr Hassan Elmaayirgy. The school is a co-educational school that serves grades Pre-Kindergarten through Secondary. There are three different educational systems in the school: the National Division, the British Division and the American Division. The British Division is from years 1 to 12, the American Division, which was first established in September 2001 serves Pre-K through Grade 12.
Our Vision is to build self confident, creative leaders who communicate effectively, think critically and accept others, while maintaining a strong Egyptian identity.

		
	

		
			To provide a high quality comprehensive educational system that enables students to function as a member of a group and as a productive member of the society.
We encourage the individual freedom of the students within the boundaries of our cultural traditions and beliefs.
We encourage positive relationships and mutual respect among and between students and staff so that students learn with passion, act with integrity and serve with respect.
We teach students that they are responsible for their own actions and will be held accountable for their choices.
We create awareness of duties, responsibilities and rights.
We build characters capable of facing challenges with strong decision making skills.
We encourage consistent positive contribution through team work.
We encourage the use of technology and scientific thinking in development and planning.
Extracurricular activities play an important role to enhance the students’ soft skills, general interests and cultural awareness.

		
	

		
			The Modern Education American School received an overwhelmingly positive overall assessment in its third periodic accreditation from AdvancED in May 2012. The school received the highest rating “Highly Functional” in 5 out of 7 standards,and for the other two standards the school was rated as “Operational” which is the second best rating.
These high ratings are awarded to very few schools worldwide. The qualifying team was impressed with the school’s high quality of education, as well as its strong culture.
It is worth mentioning that MES received its first AdvanceED accreditation (known as CITA at that time) in August 2001 and Again in May 2007 as part of the customary accreditation review process every 5 years.

		
	

		
			Founder PTA members have always been of great support to MES. We involve and consult them in major decisions. We urge interested parents to step up and become active PTA members. Any support you give to the school is in fact a support to your kids.
PTA members are the ambassadors of the school; the link between parents and the school, the school and the community at large. PTA elections are held during the first month of the academic year, meetings are held regularly throughout the year.",,,,,,1,0,0,1,0,
New Cairo British International School,http://www.ncbis.co.uk/,4.4,"['info@ncbis.co.uk', 'primaryoffice@ncbis.co.uk', 'secondaryoffice@ncbis.co.uk']",02 26171115,+20 2 26171115,التجمع الخامس - المنطقة الاولى، القاهرة الجديدة، محافظة القاهرة‬، Egypt,30.0057994,31.4232967,محافظة القاهرة‬,القاهرة الجديدة,التجمع الخامس - المنطقة الاولى,Egypt,https://maps.google.com/?cid=17909185718002365829,https://m.facebook.com/ncbis.tigers,https://www.youtube.com/user/ncbis,,,https://twitter.com/NcbisDutch,"['', 'http://www.ncbis.co.uk/index.php/admissions/', 'http://www.ncbis.co.uk/index.php/admissions/']","&#13;
403 Forbidden&#13;
nginx&#13;
&#13;",,"&#13;
403 Forbidden&#13;
nginx&#13;
&#13;","&#13;
403 Forbidden&#13;
nginx&#13;
&#13;","&#13;
403 Forbidden&#13;
nginx&#13;
&#13;",,1,1,1,1,0,
Cambridge Egypt - Egypt Integrated Schools,http://www.cambridgeegypt.net/,3.8,"['inspire.cambridgeegypt@gmail.com', 'info@cambridgeegypt.net']",02 24480791,+20 2 24480791,تقاطع الطريق الدائرى، محافظة القاهرة‬، Egypt,30.05452399999999,31.414493,محافظة القاهرة‬,,تقاطع الطريق الدائرى,Egypt,https://maps.google.com/?cid=13606211381672815968,,,,,,[''],":: FS (2) All About Bridges&amp;Year (3) All About Bridges&amp;Power Your City ::
	
		
		FS (2) All About Bridges&amp;Year (3) All About Bridges&amp;Power Your City
		
	
	
		
		 


	
	
		FS (2) All About Bridges&amp;Year (3) All About Bridges&amp;Power Your City 
	

		
	
	
		
		
		
	



			 

		  

      

   

		
 







	
		Enlarged Photo
	
	
		
	














 


  
	
	
	
	
	







 




	
	


	
		Enlarged Photo",,,,,,1,0,0,1,0,
Global Paradigm International جلوبال باراديم School,http://www.gpschool-eg.com/,3.7,['info@gpschool-eg.com'],02 22461818,+20 2 22461818,"First settlement Block K1 Sector 8 New 11477، Cairo Governorate, Egypt",30.0558527,31.4557913,,,Cairo Governorate,,https://maps.google.com/?cid=12108947986204929971,https://www.facebook.com/GlobalParadigmSchool/,https://www.youtube.com/channel/UCbkivLxC0dmskoqRT6PCexg,,,,"['', 'http://gpschool-eg.com/admissions/']","Our mission is to develop young citizens with active and creative minds, a sense of understanding and compassion for others, and the courage to act on their beliefs. Within a caring, respectful environment, the school is committed to instill in each student a desire to learn, to take appropriate risks, and to accept challenges. Creative and research-based instructional techniques are used to enhance life-long learning. All aspects of the school’s organization, curricular, and co-curricular activities are student centered and designed to accommodate individual learning styles.
The school offers broad and challenging educational programs to students to assist them in contributing their wisdom, compassion and leadership in a global society. Our school conditions students to become cultural relativists who accept other cultures and are open-minded to interact with them. The school community is committed to develop resilient and adaptable students who are equipped with the knowledge, skills and ethics to become socially responsible adults.","&#13;
        &#13;
            Organization Status&#13;
            This status shows which categorization the institution has with the accrediting body.&#13;
        &#13;
&#13;
        &#13;
            Accreditation Status&#13;
            This status indicates the current accreditation status for the institution.&#13;
        &#13;
&#13;
        &#13;
            Accreditation Date&#13;
            This date marks the date of initial accreditation granted to the institution.&#13;
        &#13;
&#13;
        &#13;
            Accreditation Expiration Date&#13;
            This date marks five years after the begin date of current accreditation term.&#13;
        &#13;
    &#13;","Join Now!
Global Paradigm International School is a private international co-educational day school, which offers an educational program from Pre-K through Grade 12 for students of all nationalities.
Apply",,"Join Now!
Global Paradigm International School is a private international co-educational day school, which offers an educational program from Pre-K through Grade 12 for students of all nationalities.
Apply",,1,1,1,1,0,
Modern Schools of Egypt 2000,http://www.mse.edu.eg/,4,['info@mse.edu.eg'],02 26132301,+20 2 26132301,"Cairo Governorate, Egypt",30.03730869999999,31.4292119,,,Cairo Governorate,,https://maps.google.com/?cid=7030893793125690097,,,,,,[''],"HistoryGood schools, like good societies and good families, celebrate and cherish values, ethics, excellence and diversity.Helping to initially establishing MSE, meant working hard as a team during the first year specially to endorse these values and introducing students and parents to a refreshing new approach to learning.Staff were selfless in their dedication both to the school and to their support to each other.Therefore, we have set a foundation for our school which fosters high quality education that builds our students into adults, capable of entering the world and facing challenges regardless of their potential.School PremisesThe school was built on 26.000 meters; the classrooms are well designed, modern with high ceilings and the windows are large creating an airy bright room filled with natural light. Corridors are wide, bathrooms are well spread all over, to facilitate easy access to students.There are science laboratories and computer labs, also a very special computer lab that caters for ICDL teaching and testing which we have acquired the Licence for from the UNESCO.There is a library fully equipped, art rooms, home economic rooms, agriculture rooms, maintenance room, gymnasium and two swimming pools.We have also multipurpose sport’s courts, such as a grass football pitch, a hand ball court, a basketball court and two fully equipped indoor squash courts with auditorium.During break times the students make full use of the extensive playgrounds and a cafeteria in which to relax and buy freshly made sandwiches or drinks, etc… .The kg department have a separate playground, equipped with many toys and a large covered play area with artificial grass.The administration building is the focal point as one enters the front gate.The inside is airy with lots of natural lighting through the partially glass dome – shaped roof in the center.",,,,"2 Outdoor cafeterias and one air conditionedÂ  cafeteria provided with tables and chairs , serves healthy food for over 4000 students and staff members throughout the school day on a five star level .All kind of healthy sandwiches , juices and many other varieties of food are served.",,0,0,0,1,0,
Dr. Nermien Ismail Language Schools - NIS,http://www.nis-egypt.com/,4.3,['admission@nis-egypt.com'],0114 559 9992,+20 114 559 9992,"Al Sadat Ext, القاهرة الجديدة، Cairo Governorate, Egypt",30.053165,31.434084,Cairo Governorate,القاهرة الجديدة,Al Sadat Extension,Egypt,https://maps.google.com/?cid=3668011320263277188,https://www.facebook.com/nis2000,,,,,"['', 'http://nis-eg.com/admission', 'http://nis-egypt.com/en/index.php/eagles-academy-admission/', 'http://nis-eg.com/admission']","— Main Menu —About Us	- CEO Message
	- Our Culture
	- History
	- School Leadership
	- Our Beliefs
	- Employment
	- Training &amp; Development

Admission	- Message from the Admission Director
	- Online Application
	- Tuition Plan
	- After NIS
	- FAQ’s
	- Contact Us

Academics	- Overview
	- The Digital Age
	- NIS Videos
	- American School 1st Settlement
	- American School El-Shrouk
	- British School El-Shrouk
	- English School Nasr City
	- English School 1st Settlement
	- English School El-Shrouk
	- L’ecole Francaise 1st Settlement

Global Citizenship	- Word From The Program Manager
	- Global Citizenship Program at NIS
	- Program Goals
	- Our Sister Schools
	- Highlights
	- Gallery

Campus Life	- Facilities
	- Transportation
	- Sports		- - NIS Eagles
		- - Eagles Academy Online Application
		- - Girls’ Soccer Academy
		- - Cross Fit

	- Hall of Fame
	- Egypt Pride
	- Extracurricular Activities &amp; Events
	- Trips
	- Clubs
	- The Super League

MUN	- Word from the Program Directors
	- Model United Nations		- - MUN Delegate Guide
		- - Conferences

	- Model Arab League		- - What is MAL?
		- - MUN vs. MAL
		- - MAL Rules
		- - MAL Delegate Handbook
		- - NISMAL Registration
		- - NISMAL ’17


Schools	- Orientation schedule
	- American School 1st Settlement
	- American School El-Shrouk
	- British School El-Shrouk
	- English School Nasr City
	- English School 1st Settlement
	- English School El-Shrouk
	- L’ecole Francaise 1st Settlement",,"NIS made a commitment to educate “the whole child”. Involvement in school events acts as a fundamental tool in the building of a successful community. Likewise, involvement in extracurricular activities is integral to the overall development of the student and staff body.
Sports, arts, music, gaming, inclusion, recognition, and autonomy are necessary components that take place outside of the classroom and exist as the building blocks of critical thinking, time management, and academic competence.
Our activities and events include, but are not limited to:
Model United Nations
Year Book Club
Choir
Volleyball
Boys Soccer
Girls Soccer
English Drama
Arabic Drama
Community Service
Aerobics
Baking
Food Mart
Japanese Day
Saqarah Trip
Religious Complex
Cooking Club
Smart Camp
Gravity Play
Debates
Reading Marathon
Luxor Trip
Marching Band
Journalism
International Day
Science Fair
Renaissance Fair
Spelling Bee
Homecoming
Sport’s Day",,"Facilities for our students will represent their way of life at NIS. We strive to provide all students with state of the art facilities.
Campuses :  3 campuses with 7 different schools

 
Classrooms :

325 classrooms, most of them air conditioned;
Early Years Learning Centers;
All classrooms are equipped with Smart Boards, document cameras and audio systems;
Specialist classrooms for music, art and languages;
16 state of the art science labs; and
High speed Wi-Fi.


 
Library:

Selection of leisure reading books in different languages;
Several volumes of fiction, non-fiction reference materials, videos and audio materials; and
High speed Wi-Fi.


 
 
Robotics/Coding Labs :

2 Robotics/Coding labs, each with 25 PC’s, equipped with professional production software (design, animation, video, audio); and
High speed Wi-Fi.


 
Science Labs

16 science labs, equipped with showers, fume cupboards and filled with the latest scientific instruments and equipment.


 
 
Athletics:

3 Indoor – heated swimming pool
1 outdoor swimming pools
3 Gymnasiums
4 Outdoor volleyball court
4 basketball court
8 artificial grass fields
1 natural grass fields
KG playing areas


 
Theater and Lecture Halls:

2 State of the arts lecture halls hosting over 300 students daily;
State of the arts theater equipped with 500 seats;
Air conditioned, theater seats, overhead projector, audio surrounding;


 
Nutrition:
• 6 air conditioned cafeterias serving healthy food for over 6000 students and staff members throughout the school day on a 5 star level
• Salad cart, fruit baskets, fresh juices and variety of healthy sandwiches and snacks

 
Safety:

We secure a safe, healthy and peaceful learning environments for students;
78 well trained security guards watching over our students and staff members 24/7;
Evacuation drills executed according to ISO standards;
8 lifeguards and trainers for swimming pools;
4 medical care units operated by 4 doctors; and
Recycling concept implemented  and followed.",,1,0,0,1,0,
