Name,Website,Rating,Email,Phone Number,International Phone Number,Address,Latitude,Longitude,Administrative Area Level 1,Administrative Area Level 3,Route,Country,Google URL,Facebook Link,Youtube Link,Linkedin Link,Instagram Link,Twitter Link,Admission Link,About Us,Accreditation,Activities,Mission & Vision,Facilities,Fees,IGCSE,IB,BAC,AMERICAN,ABITUR,Supply List
Egyptian Language School/ EAIS/ EBIS,http://www.els-egypt.com/,4.3,"['elsians@els-egypt.com', 'kgs@els-egypt.com', 'primary@els-egypt.com', 'Preparatory@els-egypt.com', 'secondary@els-egypt.com', 'girlsschool@els-egypt.com', 'eais@els-egypt.com', 'ebis@els-egypt.com', 'eais.kg@gmail.com', 'nasrcity-elsians@els-egypt.com', 'octoberelsians@els-egypt.com', 'admission-6th-oct@els-egypt.com', 'eais.6oct@els-egypt.com', 'director.6oct@els-egypt.com', 'hr.op.6@els-egypt.com', 'student.affairs@els-egypt.com']",03 8311482,+20 3 8311482,"School, Giza Governorate, Egypt",29.9571333,30.9322366,Giza Governorate,,School,Egypt,https://maps.google.com/?cid=7072459849806165579,http://www.facebook.com/sharer/sharer.php?text=&u=https://www.els-egypt.com/,,http://www.linkedin.com/shareArticle?mini=true&url=https://www.els-egypt.com/,,http://twitter.com/share?text=&url=https://www.els-egypt.com/,"['', 'https://www.els-egypt.com/admission-process/', 'https://www.els-egypt.com/admission-process/', 'https://www.els-egypt.com/admission-process/']","Mission and Vision

“To teach for life … not for school”
Our goal is to impart the academic knowledge and life skills that our students need to become critical thinkers and problem solvers to excel academically, and also to instill the values of respect, responsibility and a collective consciousness. We teach for life to allow our students to succeed beyond their schooling and become positive contributors as citizens of their communities at large.
EAIS 6 Keys:
* critical thinking  * problem solving * academic excellence  * respect * responsibility * citizenship
 
Expectations / Values and Beliefs

School Quality Policy 
In quest for perfection, we are determined to bring up a new generation equipped with efficient and effective tools to face the challenge of ever-changing professional demands in life beyond school. The entire EAIS family endeavors to create constancy of purpose towards improvement of the student body and the service provided to them.
We aspire to develop outstanding students who use discipline, motivation and self direction to reach their fullest potential.
Means to achieve our goals reside in providing training for students, teachers and administrators, creating a democratic environment and spirit of teamwork amongst all members of the school family.

Beliefs: At EAIS we believe . . . Students’ learning needs are the primary focus of all decisions impacting the school’s educational program.
Each student is a valued individual with unique intellectual, physical, social and emotional needs.
All students are capable of learning and need to apply their learning skills in meaningful contexts.
A student’s self esteem is enhanced by positive relationships and mutual respect among students and faculty.
Embracing diversity strengthens individuals and enriches life.
Every student can and should learn.

Values: At EAIS we commit to . . .

Have a clear view of where we are going.
Strive constantly to recognize the achievements of all students.
Encourage staff and students to achieve their highest potential.
Nurture the uniqueness and individualism of every child.
Guide our students in a way that will encourage them to satisfy the needs of their society and improve it.
Develop each student’s sense of self- esteem and self-respect.
Employ an excellent staff who is highly motivated and committed.
Have an innovative and challenging curriculum.
Be committed to education as a life- long process.
Develop strong parent- teacher- student cooperation.


Student Expectations The Egyptian American International School has the highest standards of expectations for students.
Students are expected to…

Be respectful at all times- respectful of themselves, their fellow classmates, the faculty and staff, and their school.
Adhere to school rules at all times or face proper consequences.
Speak in English at all times.
Be on time- to school, classes, and various school events.
Be in proper school uniform.
Work hard and diligently.
Be a role model at all times- in and out of school.
Have a positive school ethic.
Set and meet personal goals.
Believe that there is nothing that cannot be achieved through hard work and perseverance.



 
History / Profile

The Promise of a Good EducationThe Egyptian American International School (EAIS) – the American Division of the Egyptian Language School (ELS) – was first accredited in 2003 and holds accreditation from NCA-CASI, a division of Advanc-Ed.
Since its birth EAIS has followed the ELS mission “teach for life” to prepare students for higher education, employment, and beyond. In each grade level from KG1 through grade 12, our teachers advise, assist, monitor, and motivate our students. The faculty is comprised of dedicated and professional qualified American and foreign teachers.

Curriculum &amp; Assessment The curriculum throughout the stages is based on US National Standards in association with Egyptian National Standards in Science and Math. Our American Curriculum is followed by using American textbooks and International resources. All courses are designed to allow students maximum application of topics developing their personalities, creativity, logical, analytical and critical thinking.
In addition to a full course load, students are also given intense preparation for the SAT examination, giving them the full qualifications to apply to both local and international universities.
In addition to continuous assessment the school administers two Mid-Semester Exams and 2 Semester examinations per year. Additionally, the MAP (Measured Academic Progress) Test is administered to all our students from grades 2 to 10- two times a year (fall/ spring) to assess their performance against their peers as well as their progress throughout the year.

Grading Students are graded based on various forms of assessment, class participation, homework, classwork, projects, and behavior. EAIS believes in a well rounded student and gives a variety of opportunities to allow students to shine.

Academic Support Teachers and administrators will convene on a regular basis to determine students who need to be placed on an academic support program. These students will be closely monitored as well as given additional extra help in the subjects needed.

Promotion to the Next Grade Level Students must receive a passing grade of 60% (D-) or higher in all subjects in order to be promoted to the next grade level. Arabic, Religion, and Arabic Social Studies passing grades are from 50% as per the Ministry.
A grade of F in 1 or 2 subjects will result in a re-exam in the subjects failed. The date of the re-exam will be determined by the school administration and cannot be rescheduled. Failure to attend re-examination will result in a grade of F. Passing the re-exam will result in a passing mark of 60% (D-). Failing the re-exam will result in an F.
A grade of F in 3 or more subjects will result in the repetition of the year. 

Graduation Requirements &amp; the SAT

Student entrance to universities (local or international) requires the students to achieve scores that are based on 60% from SAT scores and 40% from school course work. The school provides intensive and professional SAT classes beginning grade 10 to prepare students to tackle SAT exams and achieve the best results.
Students have 12 opportunities to sit for SAT I and SAT II Subject Exams throughout grades 11 and 12. Students begin extensive SAT Preparation in grade 10 and continue with assistance from school through grade 12.
To be granted admission to any institute of higher learning in Egypt, students must receive a total minimum score of 1200 on the SAT for private universities, and 1490 for public universities. Students graduation scores are calculated by taking 40% of the top 8 marks received in grade 10 (max. of 1 grade), grade 11 (max. of 3 grades) and grade12 (min. of 5 grades), and 60% of the SAT score. Some universities also give a 15% bonus for SAT II examinations taken (must have a total score of over 1000 on two exams).
The only SAT II examinations recognized in Egypt are math level I and II, biology, chemistry, and physics. Passing marks and subject requirements are subject to change based on Egyptian Ministry of Education and university requirements. Individual consulting is conducted throughout the year with students and parents to estimate students’ graduation results and provide counseling with regard to university choices.
EAIS offers SAT registration help. More information will be provided from the high school GDS.",,"&#13;
		&#13;
			All rights are reserved to Egyptian Language School (ELS)&#13;
		&#13;
		&#13;
	&#13;",,"&#13;
		&#13;
			All rights are reserved to Egyptian Language School (ELS)&#13;
		&#13;
		&#13;
	&#13;",,0,0,0,1,0,The content of this page is restricted. Please login and try again.
Nefertari School,http://www.niscl.com/,3.8,[],0102 101 0310,+20 102 101 0310,"Gamal Abd El-Nasir, Giza Governorate, Egypt",29.9858723,30.9356677,Giza Governorate,,Gamal Abd El-Nasir,Egypt,https://maps.google.com/?cid=9518700599399995342,,,,,,[''],,,,,,,0,1,0,0,0,
Royal International Language Schools,http://www.royallanguageschools.com/,4.3,[],02 38300065,+20 2 38300065,3rd neighbourhood، 6th OF OCTOBER، الجيزة، Egypt,29.956699,30.9303948,الجيزة,6th OF OCTOBER,3rd neighbourhood,الجيزة,https://maps.google.com/?cid=4149432969197457716,,,,,,[''],,,,,,,0,0,0,0,0,
Geel 2000 Language School,,3.3,[],02 38361107,+20 2 38361107,"Divided from Generation 2000, Giza Governorate, Egypt",29.96824080000001,30.9472954,Giza Governorate,,Divided from Generation 2000,Egypt,https://maps.google.com/?cid=9950314319272725896,,,,,,[''],,,,,,,0,0,0,0,0,
Al Khalil Language Schools,,4.1,[],02 38380510,+20 2 38380510,3rd neighbourhood، 6th OF OCTOBER، الجيزة، Egypt,29.97838489999999,30.9307983,الجيزة,6th OF OCTOBER,3rd neighbourhood,الجيزة,https://maps.google.com/?cid=613149524690875421,,,,,,[''],,,,,,,0,0,0,0,0,
Egyptian Pioneer Schools,https://www.facebook.com/Egyptian-Pioneer-Schools-languages-540829619327635/timeline?ref=page_internal,3.7,[],02 38351318,+20 2 38351318,Mekka El Mokarrama St.، 6th OF OCTOBER، الجيزة، Egypt,29.98427349999999,30.9363573,الجيزة,6th OF OCTOBER,Mekka El Mokarrama St.,الجيزة,https://maps.google.com/?cid=12012016062293566906,https://www.facebook.com/pages/6-October-City/115908271757410,,,,,[''],شكر واجب لكل تيم عمل kg وخصوصا المشرفين على الرحله انهارده � مراعاه وخوف على الاولاد بطريقه مميزه .. انا عارفه انها وظيفتهم بس الحنيه والتغهم والرفق دى حاجات انسانيه وكانت موجوده فى جميع تصرفاتهم � ور...وح مرحه وهدوء ... كل مدرسه كانت بتتعامل مع كل طفل على حدا على انه ابنها �  النظام وقت الاكل و وقت الخروج للاتوبيسات راااائع � شكرا مره تانيه لكل القائمين على الرحله ولكل جروب kg انا مبسوطه كتير انى كنت معاكم انهارده �� عرض المزيد,,,,,,1,1,1,1,0,
Heritage International School,http://www.heritageinternationalschool.com/,4.6,['info@heritageinternationalschool.com'],02 38377251,+20 2 38377251,2nd Touristic Village، 6th OF OCTOBER، الجيزة، Egypt,29.9829541,30.9956094,الجيزة,6th OF OCTOBER,2nd Touristic Village,الجيزة,https://maps.google.com/?cid=1093668459737215934,"javascript:us_menu_nopen (""http://www.facebook.com/pages/Heritage-Canadian-International-School-Egypt/218640688193402"")",,,,https://twitter.com/@heritageegypt,"['', 'http://heritageinternationalschool.com/admission/', 'http://heritageinternationalschool.com/admission/', 'http://heritageinternationalschool.com/admission/', 'http://www.heritageinternationalschool.com/cms.php?id=admission']",,,"Please check the calendar below frequently to view our updated Activities’ calendar. Note that the activities listed below might be cancelled, modified, or changed. For any further information, please contact the school’s activities coordinator on the school’s telephone numbers.","As a unique school in Egypt, the vision of Heritage International School is distinctive. The school seeks to influence Egypt’s future by producing graduates whose moral and intellectual excellence and consummate abilities will make them highly sought for roles in shaping Egypt’s place in the world.
Students of Heritage International School will be citizens of the world. They will have well-formed networks of friends and associates throughout the world. They will be grounded in the Egyptian view of the world and will also be conversant with Manitoba history, arts, and intellectual attainment, especially as found in Canada. They will be poised and effective in their dealings with North America. While remaining Egyptian in their personalities and deepest loyalties, they will nevertheless have sensitivity to and appreciation for cultures, customs, and peoples that are very different from Egypt’s.
The school asks much of its students and their families in terms of effort, time, and tuition. In return, it provides a place of deep commitment to learning, where the lifelong skills of understanding, personal and public expression, computation, problem solving, cooperation, and imagination are acquired, nurtured, and refined. The Manitoba native speaking faculty endeavors to teach a curriculum that meets Egyptian educational standards squarely while simultaneously engaging students in the exploratory, open thinking that is characteristic of Manitoba pedagogy. While English is the school’s official language of learning, it is helped along by the powerful tools that computers provide for accessing, organizing, and distributing information as part of learning.
To rear its students in this kind of school climate, where learning is paramount and understanding prized, enabling them to emerge into a wide and challenging world and assert Egypt ‘s leadership in the world is the mission of Heritage International School.

		
	

	
		
			     Our Values 
The values the school carries out in order to be true to its mission and to achieve its goals are:

Student-Centeredness: In all parts of the school and among all who are employed by it, there is a keen, continuous interest in the personal well being and highest possible achievement of each student. For this reason, the teacher-to-student ratio is a generous one, never more than 25 students per classroom.


Openness to experimentation and change: Consistent with Heritage International School’s official designation as a Manitoba curriculum school, there is an institution-wide orientation to always doing a better job. This requires reflection, study, and alertness to new ways of doing things and a willingness to change one’s ways in order to perform at a higher level.


Reasoned and respectful argument: As a community, Heritage International School depends heavily on its faculty and staff, students, parents, and educational officials, scholars, and consultants to be sources of insight, wisdom, and new ideas to guide it. It expects that they will cast a critical eye on its policies and practices and will provide helpful recommendations, suggestions, and proposals for improvement. To be most effective, such advice will be offered in civil, respectful tones and be reason-giving.","    The campus includes the following facilities:
Heritage International School is going under continuous development. The main building that comprises the Kindergarten to grade 9 classes is considered to be phase 1 of construction.
Phase 2 is being built at the moment and will comprise the school’s indoor theatre and extra classrooms expected to be used in Academic Year 2019-2020.
Phase 3 will comprise the swimming pool.
Indoor facilities:
1. Indoor multipurpose room
2. Large two-story library
3. Indoor Gym
4. Indoor Cafeteria
5. Science, Physics, Biology, Chemistry, and Industrial Labs
6. Two Computer Labs
7. Language Labs
8. Indoor Theater (under construction)
Outdoor facilities:
1. Large multipurpose court
2. Football fields
3. Landscaped open court areas",,1,0,0,0,0,
World Knowledge School,,3.9,[],0109 055 4944,+20 109 055 4944,"Giza Governorate, Egypt",29.9740911,30.91460469999999,,,Giza Governorate,,https://maps.google.com/?cid=12091815638178159589,,,,,,[''],,,"Please check the calendar below frequently to view our updated Activities’ calendar. Note that the activities listed below might be cancelled, modified, or changed. For any further information, please contact the school’s activities coordinator on the school’s telephone numbers.",,,,1,0,0,0,0,
Cairo Languages School,,3.7,[],02 38371447,+20 2 38371447,"Al Mehwar Al Markazi, Giza Governorate, Egypt",29.9668073,30.9342951,Giza Governorate,,Al Mehwar Al Markazi,Egypt,https://maps.google.com/?cid=3020601320985751044,,,,,,[''],,,"Please check the calendar below frequently to view our updated Activities’ calendar. Note that the activities listed below might be cancelled, modified, or changed. For any further information, please contact the school’s activities coordinator on the school’s telephone numbers.",,,,1,0,0,0,0,
Orascom Language School,,4.1,[],0127 966 6358,+20 127 966 6358,"Giza Governorate, Egypt",29.9523689,31.0065937,,,Giza Governorate,,https://maps.google.com/?cid=15540679590248272632,,,,,,[''],,,"Please check the calendar below frequently to view our updated Activities’ calendar. Note that the activities listed below might be cancelled, modified, or changed. For any further information, please contact the school’s activities coordinator on the school’s telephone numbers.",,,,1,0,0,0,0,
