Name,Profile Picture
New Sidi Gaber Language Schools - SLS,true
Forsan International School,true
British School Of Alexandria - BSA,true
Schutz American School,true
Alexandria Language School,true
El Zahraa Language School,true
Sidi Gaber Language Schools For Girls,true
Taymour English School,true
El Maaref Primary School,false
Modern American School المدرسه الامريكيه الحديثه,true
RLS - El Rahman Language Schools,true
Girard School,true
El Pharana Home Craft School,true
مدرسة فاطمة الزهراء الخاصة Fatima Elzahraa Private School,true
The British School of Alexandria,false
سامى البارودى ث التجريبية بنات لغات,false
Janaklees National School,true
Morcossia language school,true
IBCA International School,true
Elm International School,false
Pioneer Language School‎s,true
Egyptian American School,true
Riada Language School,true
Sidi Gaber Language School For Boys,false
Ibn Anas Primary Experimental Language School,false
Mohamed Zehran Schools,true
Sidi Gaber Language School (Boys),true
Gamal Abdel Nasser Preparatory Experimental School For Boys,true
International American Nursery School,false
Sidi Gaber Language School For Boys,false
School,true
Abdallah El Nadeem Prep Schools,true
Badr Tharwat School for Girls - one of the schools Badr own group,true
Badr blessed School - a school Bader own set,false
Salah El Din Primary School,false
Badr Private School,false
Badr Gilliam School - a school Badr group,true
El Nagah Private School,true
E.B.S SCHOOL,true
Yad El Ehsan Primary Private Mixed Schools,true
Roots Language School,true
El Nasr Boys' School,true
Saad Othman Primary School,false
Continental Language SchOOL,false
El Shamy Modern Language School,false
El Metras Schools,false
Kom El Shokafa Primary Mixed School,false
Helalia Language School,false
Semouha English School - SES,false
Green Primary Private School,true
الاهرام الخاصة,true
El Naser Salah El Din Schools,false
Bakous Primary School,false
el sadat Secondary school (مدرسه السادات الثانويه العسكريه بنين),true
El Bab El Akhdar Primary School,false
Taher your Preparatory School For Boys,false
Mahmoud Dawood School,true
School martyr Majid Shaker official languages,false
Secondary School Wardian Banin,false
Raml Girl's Secondary School,true
