Name,Profile Picture
Sahara Language School,false
Alam El Din Private Language Schools,false
Al Bashaer International Schools,true
Lycee Francais School,true
Notion International School,false
City International Schools,false
Fadl Modern Schools,true
El Gezirah Language School,true
Talaee Islamic Language School,true
Garden School Primary School,false
مدرسة البشائر المعادى الجديدة,true
Refaa El Tahtawy Private Schools,false
Ramsis College For Girls,true
Green Land - Pré Vert International School (Giza Campus),true
Manara Modern School,false
Al Othman Schools,false
New Ramses College,true
Orouba Language Schools,true
Al Waha Language Schools,false
Baby Home Schools,true
El Amal Language School,true
St. Joseph Maronite Language Schools,true
Queen Language Schools,true
El Madaen Private School,true
Millennium International Schools,false
Elwy Language Schools,false
El Qawmia Schools In Agouza,true
Leaders Language Schools,true
City Language Schools,true
Abdel Moneim Riad Primary School,false
Misr Language School - MLS,true
Victory College,true
Orman private school Arabic & language,false
Happy Land Language School,false
Al Nile Secondary Girls School,false
Irish School,true
Maadi Canal School,true
Port Said Language School,false
Manial Al Roda Language School,true
Bloom Language School,false
La Rose De Lisiuex Language Schools,false
La Rose De Lisieux Schools,true
SGS - Smart Generations School - SGS MASR,true
Tarek Ibn Zeyad Experimental Language School,false
Saint Fatima Language School,true
Degla Azharian Language School,false
Degla Valley Language School,false
Amoun Private School,true
El Farouk Private School,true
Thakanat Al Maadi School,false
Ramsis School,false
El Manar Modern Languages School,false
Dar El Tarbiah School,true
Ramsis Language Private School,false
Anglo Anwarpexy School,false
Notre Dame School Dezaputr,false
San Stefano Secondary School,true
New Life School,true
Al Manial Language School,false
Khatam El Morsaleen Private School,false
