Name,Profile Picture
Nozha Language Schools,true
Sahara Language School,false
Armenian Catholic Sisters' School,true
Futures Language Schools,true
Alam El Din Private Language Schools,false
Horus Language Schools,false
مدرسة مهنا سكول,true
Futures Tech Language School - مدرسة فيوتشر تيك للغات,true
Futures British International School - مدرسة المستقبل البريطانية الدولية,true
Lycee Francais School,true
The Egyptian Language School,true
Saint Joseph's School,true
Garden School Primary School,false
Refaa El Tahtawy Private Schools,false
Ramsis College For Girls,true
New Ramses College,true
St. Fatima Language School,true
Schools Modern School buds,false
Manara Modern School,false
Sina Private School,false
Egyptian Integrated Schools,true
Own Heliopolis Language school,false
Badr Al Islam Language Schools,false
Modern School El Zahraa,true
Tarek Ibn Zeyad Experimental Language School,false
St. Joseph Maronite Language Schools,true
مودرن سكول الحلمية,true
Dream Private Schools,true
Cambridge Egypt - Egypt Integrated Schools,true
Sheraton Heliopolis Schools,true
Rajac Language Schools,false
Thebes Language Schools,false
Leaders Language Schools,true
Dr. Nermine Ismail Language Schools,true
Jalal School Private School,true
Abdel Moneim Riad Primary School,false
Sunrise Language School,false
St. Mekhael School,false
Private Modern School Helmieyet El-Zaitoun,true
Cairo International Language Schools,true
Mokattam Language International School,true
El Manhal Private School,true
Alsun Language School,true
St. Clair School,false
Al Bayan Modern School,true
Talaea El Kamal El Islameya School,true
St. Peter's School,true
B. Own Heliopolis Language School,true
Saint Fatima Language School,true
Zoser Princes Language School,true
Ammar Ibn Yasser School,false
Heliopolis School,true
El Ola Language School,false
Cleopatra Language School,false
Nasr City Private School,true
Alson Modern School,true
El Salam Language School - SLS,false
Abou Zahra Islamic School,true
Retaj International School.,false
Saint Fatima Language School,true
