Name,Profile Picture
New Baby Garden Language School,true
Kawthar private schools Hawamdya,true
Modern Vision Language School,true
Private School Yathrib,false
Victory Primary School Joint,false
Dr. Ahmed Zewail Secondary Experimental School,false
Helwan Advanced Tourism & Hotels School,false
El Fanar Private School,true
Ibn Loqman Private School,true
Helwan Secondary School For Girls,true
El Anhar Private School,true
Hawamdia Joint Preparatory School,false
Shaimaa Preparatory School For Girls,false
El Shaheed Atef Islambouli,false
جزارة شيخ العرب بشارع المدينه المنوره,true
