Name,Profile Picture
La Rose De Lisiuex Language Schools,false
Alam El Din Private Language Schools,false
Maadi British International School,true
Mavericks Blended Learning Schools,true
Futures Language Schools,true
Al Bashaer International School,true
Al Bashaer International Schools,true
Maadi Canal School,true
Futures British International School - مدرسة المستقبل البريطانية الدولية,true
Maadi Narmer School,true
La Rose De Lisieux Schools,true
Sakkara Language School,true
Manhattan Schools Of Egypt,true
Tabary Language Schools,false
مدرسة البشائر المعادى الجديدة,true
Futures Educational Systems,true
Mokattam Language International School,true
Narmer Maadi School,true
Orouba Language Schools,true
Noor Language Schools,true
Refaa El Tahtawy Private Schools,false
Manarat El Mostaqbal American School,true
El Amal Language School,true
Millennium Language Schools,false
Victory College,true
The Egyptian international school - El Marag,true
Al Nile Secondary Girls School,false
Irish School,true
Nobel Language School,false
Manial Al Roda Language School,true
Degla Azharian Language School,false
Degla Valley Language School,false
Thakanat Al Maadi School,false
Maadi Canal School,false
Alson Modern School,true
Ramsis School,false
Dar El Tarbiah School,true
Retaj International School.,false
Kawthar private schools Hawamdya,true
Al Manial Language School,false
Khatam El Morsaleen Private School,false
Fadl Private School,true
Dar El Hanan Language School for Girls,true
Private School Yathrib,false
Saqr Qoraish Experimental School,false
Victory Primary School Joint,false
Retaj School,false
Hossam El Din Private School,true
Mahran Private School,false
Eslsca Business School,true
Talaea El Mostaqbal Dokki Private Schools,false
Orouba Language Schools,true
Cairo American College,true
Amoun Private Schools,false
El Alyaa Private Schools,true
El Kholafaa El Rashedin Private Schools,false
El Fostat Private School,true
Hadaaek El Maadi El Kawmia School,true
El Omraneya Private School,false
Jaber Al-Sabah School,false
