Name,Profile Picture
Egyptian Pioneer Schools,true
Nefertari School,true
Geel 2000 Language School,true
Al Khalil Language Schools,true
Royal International Language Schools,true
Heritage International School,true
World Knowledge School,true
Cairo Languages School,false
Orascom Language School,true
World Knowledge School(WKS),false
Experimental School Vanguard Islamic languages,false
City International Schools 6th October Branch,true
Nefertary school,true
New Manor House School,true
Riad El Saleheen Private School,true
6th of October Primary School,true
Ahmed Zewail Primary Education School,false
Nahdet Misr Experimental School,true
Flower of cities School,false
6 October Advanced Hoteling School,true
School October 6,false
Ali Ibn Aby Taleb School,true
Al Faisaliah School for Girls,true
School Secondary Girls October 6 H 6,false
Om El Mo'amnen School,true
Hisham Kamal Tohme School,false
Experimental School of guidance for Languages,true
