Name,Profile Picture
Sahara Language School,false
Creative International School,true
Alam El Din Private Language Schools,false
Lycee Francais School,true
Notion International School,false
City International Schools,false
Fadl Modern Schools,true
El Gezirah Language School,true
Talaee Islamic Language School,true
Garden School Primary School,false
Refaa El Tahtawy Private Schools,false
Ramsis College For Girls,true
Futures Educational Systems,true
Green Land - Pré Vert International School (Giza Campus),true
New Ramses College,true
Manara Modern School,false
Baby Home Schools,true
St. Joseph Maronite Language Schools,true
Queen Language Schools,true
El Madaen Private School,true
Millennium International Schools,false
Elwy Language Schools,false
El Qawmia Schools In Agouza,true
Leaders Language Schools,true
City Language Schools,true
Abdel Moneim Riad Primary School,false
The Egyptian international school - El Marag,true
Orman private school Arabic & language,false
Happy Land Language School,false
Al Nile Secondary Girls School,false
Irish School,true
Port Said Language School,false
Manial Al Roda Language School,true
Saint Fatima Language School,true
Amoun Private School,true
El Farouk Private School,true
Ramsis School,false
El Manar Modern Languages School,false
Dar El Tarbiah School,true
Ramsis Language Private School,false
La Rose De Lisiuex Language Schools,false
La Rose De Lisieux Schools,true
Tarek Ibn Zeyad Experimental Language School,false
St. Mekhael School,false
Anglo Anwarpexy School,false
Notre Dame School Dezaputr,false
San Stefano Secondary School,true
Saint Mary School,false
New Life School,true
Al Manial Language School,false
Khatam El Morsaleen Private School,false
De La Salle School,true
Diamond language school,false
El Sherif Private School,true
Fadl Private School,true
Dar El Hanan Language School for Girls,true
Modern School gardens School,false
Mahmoud Azmi Primary School,false
Hossam El Din Private School,true
School Naguib Mahfouz Experimental Language,true
