Name,Website,Rating,Email,Phone Number,International Phone Number,Address,Latitude,Longitude,Administrative Area Level 1,Administrative Area Level 3,Route,Country,Google URL,Opening Hours,About Us,Stores,Facebook Link,Twitter Link,Instagram Link,Pinterest Link,Contact Us
Samir & Aly Stationery House,https://samirandaly.com/,4.3,info@samirandaly.com,0106 554 8240,+20 106 554 8240,"Mohammed Fawzi Moaz, Ezbet Saad, Qism Sidi Gabir, Alexandria Governorate, Egypt",31.2133856,29.9422553,Qism Sidi Gabir,Ezbet Saad,Mohammed Fawzi Moaz,Alexandria Governorate,https://maps.google.com/?cid=11505405744094238031,"Monday: 10:00 AM – 10:00 PM 
Tuesday: 10:00 AM – 10:00 PM 
Wednesday: 10:00 AM – 10:00 PM 
Thursday: 10:00 AM – 10:00 PM 
Friday: 10:00 AM – 10:00 PM 
Saturday: 10:00 AM – 10:00 PM 
Sunday: 10:00 AM – 10:00 PM","Started their path together in 1969, Mr.Samir El Maayergy &amp; Mr.Aly Shatla, the founders of Samir &amp; Aly, who never thought their small shop that they started with in the beginning of their twenties would become one day one of the biggest stationery houses chain in Egypt with more than 750 employees.&#13;
It took them days and nights to build a strong presence in the Egyptian market, they used their intelligence &amp; insistence to become who they are today.&#13;
The company came into existence when the founders found an old man coming into their small clothes shop and started complaining and blaming them for selling such stuff while their shop place was located right in front of the faculty of engineering (Ain Shams) and from that day it was a sign for them to focus on their future career.&#13;
They believed taking on technical instruments would be a huge gamble.&#13;
They worked on the technical instruments and the tracing paper for the engineers, which made Samir &amp; Aly's name related in the market to this type of tools.&#13;
After this huge effort in the 80's, they were having 4 branches in Cairo's best districts:&#13;
• One in front of the faculty of engineer Ain Shams (Abbasia branch)• Two branches in Downtown (Sherif Street) it was the second whole sale market in Egypt after Fagalla .• The last branch at that time was Zamalek's branch and it was opened right in front the Faculty of Fine Arts.&#13;
It made them start to search for what the students need in that field and started the new fine arts sections in their shops.&#13;
At that time there was a new place they were hearing of in a city called Nasr City, it was a target for them though at that time there were no faculties around this area which was a risk of choosing this place and taking the decision.&#13;
After that, they opened Nasr City's branch, with a special consideration of being in a residential area &amp; a small number of schools around, which created the third section in Samir&amp; Aly: the school supplies and the writing instruments, yet with a core focus on both previous sections.&#13;
Samir &amp; Aly had the talent to understand that the business success is centred on its specialization in meeting the customers needs And how to market the product to fulfil the customers satisfaction.&#13;
They were the first in that career to search for the stationery fairs all over the world .&#13;
To travel and see what’s new and how do these people think and produce with different techniques. Maybe it took them a lot of time but they really gained much and it was really useful.&#13;
They made very good relations with the overseas suppliers they were meeting until they took the decision of stopping being just distributors (to be or not to be), they were planning for being a sole agent for the brands they were importing.&#13;
Their very good reputation in the market and self confidence made them sure that they can really do it. Convincing these companies went smooth &amp; easy, until the day they became the sole agent of the biggest stationery brands in Egypt.","Started their path together in 1969, Mr.Samir El Maayergy &amp; Mr.Aly Shatla, the founders of Samir &amp; Aly, who never thought their small shop that they started with in the beginning of their twenties would become one day one of the biggest stationery houses chain in Egypt with more than 750 employees.&#13;
It took them days and nights to build a strong presence in the Egyptian market, they used their intelligence &amp; insistence to become who they are today.&#13;
The company came into existence when the founders found an old man coming into their small clothes shop and started complaining and blaming them for selling such stuff while their shop place was located right in front of the faculty of engineering (Ain Shams) and from that day it was a sign for them to focus on their future career.&#13;
They believed taking on technical instruments would be a huge gamble.&#13;
They worked on the technical instruments and the tracing paper for the engineers, which made Samir &amp; Aly's name related in the market to this type of tools.&#13;
After this huge effort in the 80's, they were having 4 branches in Cairo's best districts:&#13;
• One in front of the faculty of engineer Ain Shams (Abbasia branch)• Two branches in Downtown (Sherif Street) it was the second whole sale market in Egypt after Fagalla .• The last branch at that time was Zamalek's branch and it was opened right in front the Faculty of Fine Arts.&#13;
It made them start to search for what the students need in that field and started the new fine arts sections in their shops.&#13;
At that time there was a new place they were hearing of in a city called Nasr City, it was a target for them though at that time there were no faculties around this area which was a risk of choosing this place and taking the decision.&#13;
After that, they opened Nasr City's branch, with a special consideration of being in a residential area &amp; a small number of schools around, which created the third section in Samir&amp; Aly: the school supplies and the writing instruments, yet with a core focus on both previous sections.&#13;
Samir &amp; Aly had the talent to understand that the business success is centred on its specialization in meeting the customers needs And how to market the product to fulfil the customers satisfaction.&#13;
They were the first in that career to search for the stationery fairs all over the world .&#13;
To travel and see what’s new and how do these people think and produce with different techniques. Maybe it took them a lot of time but they really gained much and it was really useful.&#13;
They made very good relations with the overseas suppliers they were meeting until they took the decision of stopping being just distributors (to be or not to be), they were planning for being a sole agent for the brands they were importing.&#13;
Their very good reputation in the market and self confidence made them sure that they can really do it. Convincing these companies went smooth &amp; easy, until the day they became the sole agent of the biggest stationery brands in Egypt.",https://www.facebook.com/SamirAlyStationeryHousesCo,https://twitter.com/samirandaly,,,
Elramady Stationary,,0,,0128 201 9593,+20 128 201 9593,"8-, 10 No 19- Masged Al Rahman, Al Mandarah Qebli, Qism El-Montaza, Alexandria Governorate, Egypt",31.2637926,30.009447,,,10,,https://maps.google.com/?cid=8518779346250326363,,,,,,,,
Taif Stationary,,4.5,,0112 302 5913,+20 112 302 5913,"27 Street 16, Khorshid Al Qebleyah, Qism El-Raml, Alexandria Governorate, Egypt",31.21055110000001,29.9968956,,,27,,https://maps.google.com/?cid=6935883083935082683,"Monday: 5:59 AM – 11:02 PM 
Tuesday: 5:59 AM – 11:02 PM 
Wednesday: 5:59 AM – 11:02 PM 
Thursday: 5:59 AM – 11:02 PM 
Friday: 5:59 AM – 11:02 PM 
Saturday: 5:59 AM – 11:02 PM 
Sunday: 5:59 AM – 11:02 PM",,,,,,,
Badr Stationery,,4.7,,03 5933844,+20 3 5933844,"21 ش احمد قمحة بجوار كليه الهندسه 21 Ahmed Kamha st.، Al Ibrahimeyah Qebli WA Al Hadrah Bahri, Qesm Bab Sharqi, Alexandria Governorate 21534, Egypt",31.207855,29.92597000000001,Qesm Bab Sharqi,Al Ibrahimeyah Qebli WA Al Hadrah Bahri,Alexandria Governorate,Egypt,https://maps.google.com/?cid=14000250618203504529,,,,,,,,
Al-Kazaz Stationery Store مكتبة القزاز,,5,,0,0,"Zaarbana WA Al Hamam, Qism El-Raml, Alexandria Governorate, Egypt",31.2303821,29.9717586,,,Zaarbana WA Al Hamam,,https://maps.google.com/?cid=1492848564632718544,"Monday: 9:00 AM – 11:00 PM 
Tuesday: 9:00 AM – 11:00 PM 
Wednesday: 9:00 AM – 11:00 PM 
Thursday: 9:00 AM – 11:00 PM 
Friday: 9:00 AM – 11:00 PM 
Saturday: 9:00 AM – 11:00 PM 
Sunday: 9:00 AM – 11:00 PM",,,,,,,
Amine Stationery,,0,,0,0,"San Stifano, Qism El-Raml, Alexandria Governorate, Egypt",31.24420589999999,29.9670426,,,San Stifano,,https://maps.google.com/?cid=15737432044757178610,,,,,,,,
Kassem Store,http://www.kassemstore.com/,4.2,,03 5454515,+20 3 5454515,"99 Ahmed Shawki Street,, Mostafa Kamel, Mustafa Kamel WA Bolkli, Qism Sidi Gabir, Alexandria Governorate 21311, Egypt",31.225459,29.946835,Qism Sidi Gabir,Mustafa Kamel WA Bolkli,Alexandria Governorate,Egypt,https://maps.google.com/?cid=4071968191194899337,"Monday: 10:30 AM – 10:00 PM 
Tuesday: 10:30 AM – 10:00 PM 
Wednesday: 10:30 AM – 10:00 PM 
Thursday: 10:30 AM – 10:00 PM 
Friday: 1:00 – 10:00 PM 
Saturday: 10:30 AM – 10:00 PM 
Sunday: 10:30 AM – 10:00 PM",,Jansport مجموعة جديدة متوفرة الان في متجر قاسم! احصل على شكل الشنطه المفضل الان.. التوصيل متوفر في جميع انحاء مصر.,http://www.facebook.com/kassemstore,,,,
EL Mokhtar Stationery,http://www.facebook.com/Elmokhtar.Stationary,4.8,,03 4865149,+20 3 4865149,"7,El Sultan Hussein St. Raml Station, Alexandria, Al Mesallah Sharq, Alexandria‎, Alexandria Governorate, Egypt",31.19917199999999,29.903503,Alexandria Governorate,Al Mesallah Sharq,Alexandria‎,Egypt,https://maps.google.com/?cid=17758978417598646633,"Monday: 10:00 AM – 10:00 PM 
Tuesday: 10:00 AM – 10:00 PM 
Wednesday: 10:00 AM – 10:00 PM 
Thursday: 10:00 AM – 9:00 PM 
Friday: 10:00 AM – 9:00 PM 
Saturday: 10:00 AM – 10:00 PM 
Sunday: 10:00 AM – 10:00 PM",اضغط علي ‏‎alt‎‏ + ‏/‏ لفتح هذه القائمة,,https://l.facebook.com/l.php?u=http%3A%2F%2Fworld.montblanc.com%2Fproducts%2F26.php&h=ATMvhlNddjFezcKSBLvuWw2rDAw2kBx2e_p7KyRmqKIR9PzCqBCKTz100gX9tbefgaJxGNHlxIKSSX1vUp0ZPXpYhIr8bUt33AI7qIyfDYABrSirpmO2lTZ6iKDPwVPmfDXo6O1WZu4czvA,,,,
Said Stationery,,4.1,,03 4410911,+20 3 4410911,32 Qorrat El Ein St.، WARDEYAN، قسم مينا البصل، الإسكندرية، Egypt,31.1641106,29.8694715,,,32,,https://maps.google.com/?cid=16114303248031176810,"Monday: 8:00 AM – 12:00 AM 
Tuesday: 8:00 AM – 12:00 AM 
Wednesday: 8:00 AM – 12:00 AM 
Thursday: 8:00 AM – 12:00 AM 
Friday: 8:00 AM – 12:00 AM 
Saturday: 8:00 AM – 12:00 AM 
Sunday: 8:00 AM – 12:00 AM",,,,,,,
Nour,,4,,0,0,"Al Mandarah Bahri, Qesm Al Montazah, Alexandria Governorate, Egypt",31.27248590000001,30.00433439999999,,,Al Mandarah Bahri,,https://maps.google.com/?cid=14240789240523808898,,,,,,,,
