Name,Website,Rating,Email,Phone Number,International Phone Number,Address,Latitude,Longitude,Administrative Area Level 1,Administrative Area Level 3,Route,Country,Google URL,Opening Hours,About Us,Stores,Facebook Link,Twitter Link,Instagram Link,Pinterest Link,Contact Us
Bakier Stationery,http://www.bakier.net/,4.4,[],02 25199088,+20 2 25199088,"2 Street 218, Maadi as Sarayat Al Gharbeyah, Al Maadi, Cairo Governorate, Egypt",29.9623615,31.27382219999999,,,2,,https://maps.google.com/?cid=14145689145687810040,"Monday: 11:00 AM – 10:00 PM 
Tuesday: 11:00 AM – 10:00 PM 
Wednesday: 11:00 AM – 10:00 PM 
Thursday: 11:00 AM – 10:00 PM 
Friday: 11:00 AM – 10:00 PM 
Saturday: 11:00 AM – 10:00 PM 
Sunday: 11:00 AM – 10:00 PM","&#13;
Bakier Stationery was founded in 1991 with the aim of being a market leader in high quality stationary and office supplies.&#13;
We are committed to provide the highest quality of products at great prices ensuring maximum value for money and ultimate customer satisfaction.&#13;
Bakier Stationery Head Office located in 33, Street 269, New Maadi, Cairo, Egypt.&#13;
Stationery brances are covering Cairo and Giza governorate:&#13;
Maadi: 2, Street 218, Degla, Maadi, Cairo&#13;
Heliopolis : 25, Cleopatra Street, Heliopolis, Cairo.&#13;
6 October City: Mall of Arabia, Gate 17, 6 October City, Giza.&#13;
New Cairo: Ground Floor, Point 90 Mall, New Cairo.&#13;
 &#13;
What Bakier Offers&#13;
Bakier offers all the office and stationery supplies your business could possibly need. In addition, we have custom made giveaways for your business. Customers are the core of our business. It is vital for us to understand our customers' needs so that we can exceed their expectations in all our services.&#13;
Ultimate customer satisfaction guaranteed. Shopping for stationery &amp; office supplies is no longer a hassle.&#13;
 &#13;
Our Clients&#13;
Our clients are our partners. We take pride in serving our clients .Our commitment has allowed us to serve 250 satisfied business clients across all industries.&#13;
&#13;
&#13;
&#13;
Bakier Website&#13;
With all the demands on our time in todays' busy lifestyle, stationery shopping should be a pleasure rather than a chore. Well, now it is with Bakier online stationery store www.bakier.net.&#13;
Bakier.net consolidates various stationery requirements including school, business and personal within one user friendly website. Order + pay online and recieve direct dellivery. Personal service is a click away.&#13;
Our Aim is to offer YOU an easy to use online solution for stationery purchasing , coupled with localized personal involvement for both the client and the community.&#13;
We hope you enjoy your shopping with Bakier.net&#13;
Please don't hesitate to Contact Us any time for any help, inquiry, or reporting any problem you faced during your online shopping.&#13;
Products&#13;
StationeryCello tape, Clip papers, Erasers, Rulers, Scissors, Cutters, Staplers, Staples, Punchers, Office Accessories, Cash Boxes, Small Office Accessories,Trays, Magazines Files and ID Card Holders.&#13;
Calculators &amp; AccessoriesHandheld Calculators, Desktop Calculators, School Calculators, Printing Calculators.&#13;
Ink &amp; TonersHP Inkjet, HP Laser jet (toner), Canon, Xerox, Epson, Fullmark and Panasonic.&#13;
Files &amp; FoldersBox Files, Archive Files, Ring Binders, Soft Files, Hanging Files, Folders, Dividers, Display books and Business cards Albums.&#13;
Pens &amp; PencilsBall point pens, Mechanical pencils, Wood pencils, Roller Ball pen (ink), Markers, Special pens, and Correction pens.&#13;
Paper &amp; EnvelopesPrinting and Copy papers, Computer papers, Inkjet papers, Block notes &amp; pads, Envelopes, Self-adhesive papers, Labels, paper roll, Transparency papers &amp; glossies, Log books, Post it, Telephone memos.&#13;
Computers AccessoriesCDs, DVDs, Disk’s, Computer accessories, Printers, Scanners, Data Cartridge and Flash Memories.&#13;
Boards &amp; Flip ChartsCork boards, White boards, Flip charts and accessories&#13;",Bakier Provides high quality stationery &amp; office supplies. Shop Online: www.estore.Bakier.org Stores: Heliopolis - Maadi,https://www.facebook.com/Bakier.Stores,,https://www.instagram.com/bakierstationery/,https://www.pinterest.com/bakierstores/,"&#13;
Bakier Stationery was founded in 1991 with the aim of being a market leader in high quality stationary and office supplies.&#13;
We are committed to provide the highest quality of products at great prices ensuring maximum value for money and ultimate customer satisfaction.&#13;
Bakier Stationery Head Office located in 33, Street 269, New Maadi, Cairo, Egypt.&#13;
Stationery brances are covering Cairo and Giza governorate:&#13;
Maadi: 2, Street 218, Degla, Maadi, Cairo&#13;
Heliopolis : 25, Cleopatra Street, Heliopolis, Cairo.&#13;
6 October City: Mall of Arabia, Gate 17, 6 October City, Giza.&#13;
New Cairo: Ground Floor, Point 90 Mall, New Cairo.&#13;
 &#13;
What Bakier Offers&#13;
Bakier offers all the office and stationery supplies your business could possibly need. In addition, we have custom made giveaways for your business. Customers are the core of our business. It is vital for us to understand our customers' needs so that we can exceed their expectations in all our services.&#13;
Ultimate customer satisfaction guaranteed. Shopping for stationery &amp; office supplies is no longer a hassle.&#13;
 &#13;
Our Clients&#13;
Our clients are our partners. We take pride in serving our clients .Our commitment has allowed us to serve 250 satisfied business clients across all industries.&#13;
&#13;
&#13;
&#13;
Bakier Website&#13;
With all the demands on our time in todays' busy lifestyle, stationery shopping should be a pleasure rather than a chore. Well, now it is with Bakier online stationery store www.bakier.net.&#13;
Bakier.net consolidates various stationery requirements including school, business and personal within one user friendly website. Order + pay online and recieve direct dellivery. Personal service is a click away.&#13;
Our Aim is to offer YOU an easy to use online solution for stationery purchasing , coupled with localized personal involvement for both the client and the community.&#13;
We hope you enjoy your shopping with Bakier.net&#13;
Please don't hesitate to Contact Us any time for any help, inquiry, or reporting any problem you faced during your online shopping.&#13;
Products&#13;
StationeryCello tape, Clip papers, Erasers, Rulers, Scissors, Cutters, Staplers, Staples, Punchers, Office Accessories, Cash Boxes, Small Office Accessories,Trays, Magazines Files and ID Card Holders.&#13;
Calculators &amp; AccessoriesHandheld Calculators, Desktop Calculators, School Calculators, Printing Calculators.&#13;
Ink &amp; TonersHP Inkjet, HP Laser jet (toner), Canon, Xerox, Epson, Fullmark and Panasonic.&#13;
Files &amp; FoldersBox Files, Archive Files, Ring Binders, Soft Files, Hanging Files, Folders, Dividers, Display books and Business cards Albums.&#13;
Pens &amp; PencilsBall point pens, Mechanical pencils, Wood pencils, Roller Ball pen (ink), Markers, Special pens, and Correction pens.&#13;
Paper &amp; EnvelopesPrinting and Copy papers, Computer papers, Inkjet papers, Block notes &amp; pads, Envelopes, Self-adhesive papers, Labels, paper roll, Transparency papers &amp; glossies, Log books, Post it, Telephone memos.&#13;
Computers AccessoriesCDs, DVDs, Disk’s, Computer accessories, Printers, Scanners, Data Cartridge and Flash Memories.&#13;
Boards &amp; Flip ChartsCork boards, White boards, Flip charts and accessories&#13;"
Bakier Stationery,http://bakier.org/store/,4,[],02 27041813,+20 2 27041813,3 Rd. 270، البساتين الشرقية، المعادي، محافظة القاهرة‬، Egypt,29.97585740000001,31.2805856,,,3,,https://maps.google.com/?cid=244476125173366789,,"CASH ON DELIVERY
Choose your preferredpayment option.",Bakier Provides high quality stationery &amp; office supplies. Shop Online: www.estore.Bakier.org Stores: Heliopolis - Maadi,https://www.facebook.com/Bakier.Stores,,https://www.instagram.com/bakierstationery/,https://www.pinterest.com/bakierstores/,"CASH ON DELIVERY
Choose your preferredpayment option."
Samir & Aly Stationary House,http://www.samirandaly.com/,4.1,info@samirandaly.com,19891,+20 19891,"12 Al Dokki St, Ad Doqi A, Ad Doqi, Giza Governorate, Egypt",30.0345914,31.21173509999999,,,12,,https://maps.google.com/?cid=4744049785001810566,"Monday: 10:00 AM – 9:00 PM 
Tuesday: 10:00 AM – 9:00 PM 
Wednesday: 10:00 AM – 9:00 PM 
Thursday: 10:00 AM – 9:00 PM 
Friday: 10:00 AM – 9:00 PM 
Saturday: 10:00 AM – 9:00 PM 
Sunday: 10:00 AM – 9:00 PM","Started their path together in 1969, Mr.Samir El Maayergy &amp; Mr.Aly Shatla, the founders of Samir &amp; Aly, who never thought their small shop that they started with in the beginning of their twenties would become one day one of the biggest stationery houses chain in Egypt with more than 750 employees.&#13;
It took them days and nights to build a strong presence in the Egyptian market, they used their intelligence &amp; insistence to become who they are today.&#13;
The company came into existence when the founders found an old man coming into their small clothes shop and started complaining and blaming them for selling such stuff while their shop place was located right in front of the faculty of engineering (Ain Shams) and from that day it was a sign for them to focus on their future career.&#13;
They believed taking on technical instruments would be a huge gamble.&#13;
They worked on the technical instruments and the tracing paper for the engineers, which made Samir &amp; Aly's name related in the market to this type of tools.&#13;
After this huge effort in the 80's, they were having 4 branches in Cairo's best districts:&#13;
• One in front of the faculty of engineer Ain Shams (Abbasia branch)• Two branches in Downtown (Sherif Street) it was the second whole sale market in Egypt after Fagalla .• The last branch at that time was Zamalek's branch and it was opened right in front the Faculty of Fine Arts.&#13;
It made them start to search for what the students need in that field and started the new fine arts sections in their shops.&#13;
At that time there was a new place they were hearing of in a city called Nasr City, it was a target for them though at that time there were no faculties around this area which was a risk of choosing this place and taking the decision.&#13;
After that, they opened Nasr City's branch, with a special consideration of being in a residential area &amp; a small number of schools around, which created the third section in Samir&amp; Aly: the school supplies and the writing instruments, yet with a core focus on both previous sections.&#13;
Samir &amp; Aly had the talent to understand that the business success is centred on its specialization in meeting the customers needs And how to market the product to fulfil the customers satisfaction.&#13;
They were the first in that career to search for the stationery fairs all over the world .&#13;
To travel and see what’s new and how do these people think and produce with different techniques. Maybe it took them a lot of time but they really gained much and it was really useful.&#13;
They made very good relations with the overseas suppliers they were meeting until they took the decision of stopping being just distributors (to be or not to be), they were planning for being a sole agent for the brands they were importing.&#13;
Their very good reputation in the market and self confidence made them sure that they can really do it. Convincing these companies went smooth &amp; easy, until the day they became the sole agent of the biggest stationery brands in Egypt.","Started their path together in 1969, Mr.Samir El Maayergy &amp; Mr.Aly Shatla, the founders of Samir &amp; Aly, who never thought their small shop that they started with in the beginning of their twenties would become one day one of the biggest stationery houses chain in Egypt with more than 750 employees.&#13;
It took them days and nights to build a strong presence in the Egyptian market, they used their intelligence &amp; insistence to become who they are today.&#13;
The company came into existence when the founders found an old man coming into their small clothes shop and started complaining and blaming them for selling such stuff while their shop place was located right in front of the faculty of engineering (Ain Shams) and from that day it was a sign for them to focus on their future career.&#13;
They believed taking on technical instruments would be a huge gamble.&#13;
They worked on the technical instruments and the tracing paper for the engineers, which made Samir &amp; Aly's name related in the market to this type of tools.&#13;
After this huge effort in the 80's, they were having 4 branches in Cairo's best districts:&#13;
• One in front of the faculty of engineer Ain Shams (Abbasia branch)• Two branches in Downtown (Sherif Street) it was the second whole sale market in Egypt after Fagalla .• The last branch at that time was Zamalek's branch and it was opened right in front the Faculty of Fine Arts.&#13;
It made them start to search for what the students need in that field and started the new fine arts sections in their shops.&#13;
At that time there was a new place they were hearing of in a city called Nasr City, it was a target for them though at that time there were no faculties around this area which was a risk of choosing this place and taking the decision.&#13;
After that, they opened Nasr City's branch, with a special consideration of being in a residential area &amp; a small number of schools around, which created the third section in Samir&amp; Aly: the school supplies and the writing instruments, yet with a core focus on both previous sections.&#13;
Samir &amp; Aly had the talent to understand that the business success is centred on its specialization in meeting the customers needs And how to market the product to fulfil the customers satisfaction.&#13;
They were the first in that career to search for the stationery fairs all over the world .&#13;
To travel and see what’s new and how do these people think and produce with different techniques. Maybe it took them a lot of time but they really gained much and it was really useful.&#13;
They made very good relations with the overseas suppliers they were meeting until they took the decision of stopping being just distributors (to be or not to be), they were planning for being a sole agent for the brands they were importing.&#13;
Their very good reputation in the market and self confidence made them sure that they can really do it. Convincing these companies went smooth &amp; easy, until the day they became the sole agent of the biggest stationery brands in Egypt.",https://www.facebook.com/SamirAlyStationeryHousesCo,https://twitter.com/samirandaly,,,
Sameer & Ali Stationary House,https://samirandaly.com/,4.1,info@samirandaly.com,02 23957801,+20 2 23957801,"Al Fawalah, Abdin, Cairo Governorate, Egypt",30.0497897,31.24247339999999,,,Al Fawalah,,https://maps.google.com/?cid=17405903104953875961,"Monday: 8:00 AM – 10:00 PM 
Tuesday: 8:00 AM – 10:00 PM 
Wednesday: 8:00 AM – 10:00 PM 
Thursday: 8:00 AM – 10:00 PM 
Friday: 8:00 AM – 10:00 PM 
Saturday: 8:00 AM – 10:00 PM 
Sunday: 8:00 AM – 10:00 PM","Started their path together in 1969, Mr.Samir El Maayergy &amp; Mr.Aly Shatla, the founders of Samir &amp; Aly, who never thought their small shop that they started with in the beginning of their twenties would become one day one of the biggest stationery houses chain in Egypt with more than 750 employees.&#13;
It took them days and nights to build a strong presence in the Egyptian market, they used their intelligence &amp; insistence to become who they are today.&#13;
The company came into existence when the founders found an old man coming into their small clothes shop and started complaining and blaming them for selling such stuff while their shop place was located right in front of the faculty of engineering (Ain Shams) and from that day it was a sign for them to focus on their future career.&#13;
They believed taking on technical instruments would be a huge gamble.&#13;
They worked on the technical instruments and the tracing paper for the engineers, which made Samir &amp; Aly's name related in the market to this type of tools.&#13;
After this huge effort in the 80's, they were having 4 branches in Cairo's best districts:&#13;
• One in front of the faculty of engineer Ain Shams (Abbasia branch)• Two branches in Downtown (Sherif Street) it was the second whole sale market in Egypt after Fagalla .• The last branch at that time was Zamalek's branch and it was opened right in front the Faculty of Fine Arts.&#13;
It made them start to search for what the students need in that field and started the new fine arts sections in their shops.&#13;
At that time there was a new place they were hearing of in a city called Nasr City, it was a target for them though at that time there were no faculties around this area which was a risk of choosing this place and taking the decision.&#13;
After that, they opened Nasr City's branch, with a special consideration of being in a residential area &amp; a small number of schools around, which created the third section in Samir&amp; Aly: the school supplies and the writing instruments, yet with a core focus on both previous sections.&#13;
Samir &amp; Aly had the talent to understand that the business success is centred on its specialization in meeting the customers needs And how to market the product to fulfil the customers satisfaction.&#13;
They were the first in that career to search for the stationery fairs all over the world .&#13;
To travel and see what’s new and how do these people think and produce with different techniques. Maybe it took them a lot of time but they really gained much and it was really useful.&#13;
They made very good relations with the overseas suppliers they were meeting until they took the decision of stopping being just distributors (to be or not to be), they were planning for being a sole agent for the brands they were importing.&#13;
Their very good reputation in the market and self confidence made them sure that they can really do it. Convincing these companies went smooth &amp; easy, until the day they became the sole agent of the biggest stationery brands in Egypt.","Started their path together in 1969, Mr.Samir El Maayergy &amp; Mr.Aly Shatla, the founders of Samir &amp; Aly, who never thought their small shop that they started with in the beginning of their twenties would become one day one of the biggest stationery houses chain in Egypt with more than 750 employees.&#13;
It took them days and nights to build a strong presence in the Egyptian market, they used their intelligence &amp; insistence to become who they are today.&#13;
The company came into existence when the founders found an old man coming into their small clothes shop and started complaining and blaming them for selling such stuff while their shop place was located right in front of the faculty of engineering (Ain Shams) and from that day it was a sign for them to focus on their future career.&#13;
They believed taking on technical instruments would be a huge gamble.&#13;
They worked on the technical instruments and the tracing paper for the engineers, which made Samir &amp; Aly's name related in the market to this type of tools.&#13;
After this huge effort in the 80's, they were having 4 branches in Cairo's best districts:&#13;
• One in front of the faculty of engineer Ain Shams (Abbasia branch)• Two branches in Downtown (Sherif Street) it was the second whole sale market in Egypt after Fagalla .• The last branch at that time was Zamalek's branch and it was opened right in front the Faculty of Fine Arts.&#13;
It made them start to search for what the students need in that field and started the new fine arts sections in their shops.&#13;
At that time there was a new place they were hearing of in a city called Nasr City, it was a target for them though at that time there were no faculties around this area which was a risk of choosing this place and taking the decision.&#13;
After that, they opened Nasr City's branch, with a special consideration of being in a residential area &amp; a small number of schools around, which created the third section in Samir&amp; Aly: the school supplies and the writing instruments, yet with a core focus on both previous sections.&#13;
Samir &amp; Aly had the talent to understand that the business success is centred on its specialization in meeting the customers needs And how to market the product to fulfil the customers satisfaction.&#13;
They were the first in that career to search for the stationery fairs all over the world .&#13;
To travel and see what’s new and how do these people think and produce with different techniques. Maybe it took them a lot of time but they really gained much and it was really useful.&#13;
They made very good relations with the overseas suppliers they were meeting until they took the decision of stopping being just distributors (to be or not to be), they were planning for being a sole agent for the brands they were importing.&#13;
Their very good reputation in the market and self confidence made them sure that they can really do it. Convincing these companies went smooth &amp; easy, until the day they became the sole agent of the biggest stationery brands in Egypt.",https://www.facebook.com/SamirAlyStationeryHousesCo,https://twitter.com/samirandaly,,,
Office-Egypt.com l مستلزمات المكاتب,http://www.office-egypt.com/,2,,02 33048261,+20 2 33048261,"22 Galal Al Deen Al Hamamsy-Rashed St, Madinet Al Eelam, Cairo, Giza Governorate 12411, Egypt",30.0678457,31.2051056,,,22,,https://maps.google.com/?cid=16594169729482324799,"Monday: Open 24 hours 
Tuesday: Open 24 hours 
Wednesday: Open 24 hours 
Thursday: Open 24 hours 
Friday: Open 24 hours 
Saturday: Open 24 hours 
Sunday: Open 24 hours","Oops! That page can’t be found.
				
				


		It looks like nothing was found at this location. Maybe try one of the links below or a search?",,https://www.facebook.com/office.egypt/,https://twitter.com/office_egypt?lang=en,https://www.instagram.com/office_egypt/?hl=en,,"Oops! That page can’t be found.
				
				


		It looks like nothing was found at this location. Maybe try one of the links below or a search?"
Alwan Stationery,http://alwan.com.eg/,3.9,Mohamed_maysara@yahoo.com,02 25888062,+20 2 25888062,1 kamel sedqy st.، الفجالة، الأزبكية، محافظة القاهرة‬، Egypt,30.0603854,31.24750699999999,,,1,,https://maps.google.com/?cid=4477199298921442959,"Monday: 10:00 AM – 10:00 PM 
Tuesday: 10:00 AM – 10:00 PM 
Wednesday: 10:00 AM – 10:00 PM 
Thursday: 10:00 AM – 10:00 PM 
Friday: 10:00 AM – 10:00 PM 
Saturday: 10:00 AM – 10:00 PM 
Sunday: 10:00 AM – 10:00 PM","&#13;
		&#13;
			Testimonials&#13;
			&#13;
			Good&#13;
Okay			&#13;
			Khaled Ahmed -Hassan  El Malky&#13;
		&#13;
	&#13;
		&#13;
	&#13;
		&#13;
		&#13;
		&#13;
			Alwan Stationary&#13;
			&#13;
			A great collection of Art, Graphic, Office and School materials in many branches in Egypt.&#13;
Agents and Distributers for the best world brands such as Canson, Clairefontaine, Kohinoor, Maped, Maries, Pebeo, Raphael, and Snowman.			&#13;
			Hotline : 19275&#13;
			Email: Mohamed_maysara@yahoo.com			&#13;
		&#13;
	&#13;
	&#13;",,https://www.facebook.com/alwan.stationery?fref=ts,,,,"&#13;
		&#13;
			Testimonials&#13;
			&#13;
			Good&#13;
Okay			&#13;
			Khaled Ahmed -Hassan  El Malky&#13;
		&#13;
	&#13;
		&#13;
	&#13;
		&#13;
		&#13;
		&#13;
			Alwan Stationary&#13;
			&#13;
			A great collection of Art, Graphic, Office and School materials in many branches in Egypt.&#13;
Agents and Distributers for the best world brands such as Canson, Clairefontaine, Kohinoor, Maped, Maries, Pebeo, Raphael, and Snowman.			&#13;
			Hotline : 19275&#13;
			Email: Mohamed_maysara@yahoo.com			&#13;
		&#13;
	&#13;
	&#13;"
مكتبة ألوان Alwan stationery,http://alwan.com.eg/,4.2,Mohamed_maysara@yahoo.com,02 33661387,+20 2 33661387,"75 محيي الدين أبو العز، Ad Doqi, Giza Governorate, Egypt",30.048478,31.198842,,,75,,https://maps.google.com/?cid=5202264354287337658,"Monday: 10:00 AM – 10:00 PM 
Tuesday: 10:00 AM – 10:00 PM 
Wednesday: 10:00 AM – 10:00 PM 
Thursday: 10:00 AM – 10:00 PM 
Friday: 10:00 AM – 10:00 PM 
Saturday: 10:00 AM – 10:00 PM 
Sunday: 10:00 AM – 10:00 PM","&#13;
		&#13;
			Testimonials&#13;
			&#13;
			Good&#13;
Okay			&#13;
			Khaled Ahmed -Hassan  El Malky&#13;
		&#13;
	&#13;
		&#13;
	&#13;
		&#13;
		&#13;
		&#13;
			Alwan Stationary&#13;
			&#13;
			A great collection of Art, Graphic, Office and School materials in many branches in Egypt.&#13;
Agents and Distributers for the best world brands such as Canson, Clairefontaine, Kohinoor, Maped, Maries, Pebeo, Raphael, and Snowman.			&#13;
			Hotline : 19275&#13;
			Email: Mohamed_maysara@yahoo.com			&#13;
		&#13;
	&#13;
	&#13;",,https://www.facebook.com/alwan.stationery?fref=ts,,,,"&#13;
		&#13;
			Testimonials&#13;
			&#13;
			Good&#13;
Okay			&#13;
			Khaled Ahmed -Hassan  El Malky&#13;
		&#13;
	&#13;
		&#13;
	&#13;
		&#13;
		&#13;
		&#13;
			Alwan Stationary&#13;
			&#13;
			A great collection of Art, Graphic, Office and School materials in many branches in Egypt.&#13;
Agents and Distributers for the best world brands such as Canson, Clairefontaine, Kohinoor, Maped, Maries, Pebeo, Raphael, and Snowman.			&#13;
			Hotline : 19275&#13;
			Email: Mohamed_maysara@yahoo.com			&#13;
		&#13;
	&#13;
	&#13;"
Samir & Aly Stationery House,https://samirandaly.com/,4.4,info@samirandaly.com,0100 054 4371,+20 100 054 4371,"21 Shehab, Gazirat Mit Oqbah, Al Agouzah, Giza Governorate, Egypt",30.05207050000001,31.1956957,,,21,,https://maps.google.com/?cid=18271813901132432796,"Monday: 9:00 AM – 11:00 PM 
Tuesday: 9:00 AM – 11:00 PM 
Wednesday: 9:00 AM – 11:00 PM 
Thursday: 9:00 AM – 11:00 PM 
Friday: 9:00 AM – 11:00 PM 
Saturday: 9:00 AM – 11:00 PM 
Sunday: 9:00 AM – 11:00 PM","Started their path together in 1969, Mr.Samir El Maayergy &amp; Mr.Aly Shatla, the founders of Samir &amp; Aly, who never thought their small shop that they started with in the beginning of their twenties would become one day one of the biggest stationery houses chain in Egypt with more than 750 employees.&#13;
It took them days and nights to build a strong presence in the Egyptian market, they used their intelligence &amp; insistence to become who they are today.&#13;
The company came into existence when the founders found an old man coming into their small clothes shop and started complaining and blaming them for selling such stuff while their shop place was located right in front of the faculty of engineering (Ain Shams) and from that day it was a sign for them to focus on their future career.&#13;
They believed taking on technical instruments would be a huge gamble.&#13;
They worked on the technical instruments and the tracing paper for the engineers, which made Samir &amp; Aly's name related in the market to this type of tools.&#13;
After this huge effort in the 80's, they were having 4 branches in Cairo's best districts:&#13;
• One in front of the faculty of engineer Ain Shams (Abbasia branch)• Two branches in Downtown (Sherif Street) it was the second whole sale market in Egypt after Fagalla .• The last branch at that time was Zamalek's branch and it was opened right in front the Faculty of Fine Arts.&#13;
It made them start to search for what the students need in that field and started the new fine arts sections in their shops.&#13;
At that time there was a new place they were hearing of in a city called Nasr City, it was a target for them though at that time there were no faculties around this area which was a risk of choosing this place and taking the decision.&#13;
After that, they opened Nasr City's branch, with a special consideration of being in a residential area &amp; a small number of schools around, which created the third section in Samir&amp; Aly: the school supplies and the writing instruments, yet with a core focus on both previous sections.&#13;
Samir &amp; Aly had the talent to understand that the business success is centred on its specialization in meeting the customers needs And how to market the product to fulfil the customers satisfaction.&#13;
They were the first in that career to search for the stationery fairs all over the world .&#13;
To travel and see what’s new and how do these people think and produce with different techniques. Maybe it took them a lot of time but they really gained much and it was really useful.&#13;
They made very good relations with the overseas suppliers they were meeting until they took the decision of stopping being just distributors (to be or not to be), they were planning for being a sole agent for the brands they were importing.&#13;
Their very good reputation in the market and self confidence made them sure that they can really do it. Convincing these companies went smooth &amp; easy, until the day they became the sole agent of the biggest stationery brands in Egypt.","Started their path together in 1969, Mr.Samir El Maayergy &amp; Mr.Aly Shatla, the founders of Samir &amp; Aly, who never thought their small shop that they started with in the beginning of their twenties would become one day one of the biggest stationery houses chain in Egypt with more than 750 employees.&#13;
It took them days and nights to build a strong presence in the Egyptian market, they used their intelligence &amp; insistence to become who they are today.&#13;
The company came into existence when the founders found an old man coming into their small clothes shop and started complaining and blaming them for selling such stuff while their shop place was located right in front of the faculty of engineering (Ain Shams) and from that day it was a sign for them to focus on their future career.&#13;
They believed taking on technical instruments would be a huge gamble.&#13;
They worked on the technical instruments and the tracing paper for the engineers, which made Samir &amp; Aly's name related in the market to this type of tools.&#13;
After this huge effort in the 80's, they were having 4 branches in Cairo's best districts:&#13;
• One in front of the faculty of engineer Ain Shams (Abbasia branch)• Two branches in Downtown (Sherif Street) it was the second whole sale market in Egypt after Fagalla .• The last branch at that time was Zamalek's branch and it was opened right in front the Faculty of Fine Arts.&#13;
It made them start to search for what the students need in that field and started the new fine arts sections in their shops.&#13;
At that time there was a new place they were hearing of in a city called Nasr City, it was a target for them though at that time there were no faculties around this area which was a risk of choosing this place and taking the decision.&#13;
After that, they opened Nasr City's branch, with a special consideration of being in a residential area &amp; a small number of schools around, which created the third section in Samir&amp; Aly: the school supplies and the writing instruments, yet with a core focus on both previous sections.&#13;
Samir &amp; Aly had the talent to understand that the business success is centred on its specialization in meeting the customers needs And how to market the product to fulfil the customers satisfaction.&#13;
They were the first in that career to search for the stationery fairs all over the world .&#13;
To travel and see what’s new and how do these people think and produce with different techniques. Maybe it took them a lot of time but they really gained much and it was really useful.&#13;
They made very good relations with the overseas suppliers they were meeting until they took the decision of stopping being just distributors (to be or not to be), they were planning for being a sole agent for the brands they were importing.&#13;
Their very good reputation in the market and self confidence made them sure that they can really do it. Convincing these companies went smooth &amp; easy, until the day they became the sole agent of the biggest stationery brands in Egypt.",https://www.facebook.com/SamirAlyStationeryHousesCo,https://twitter.com/samirandaly,,,
Nerco Stationary,,3.8,,02 25216105,+20 2 25216105,الشطر الخامس، عزبة فهمي، المعادي، محافظة القاهرة‬، Egypt,29.965479,31.283767,المعادي,عزبة فهمي,الشطر الخامس,محافظة القاهرة‬,https://maps.google.com/?cid=4990719568086326079,"Monday: 10:00 AM – 10:00 PM 
Tuesday: 10:00 AM – 10:00 PM 
Wednesday: 10:00 AM – 10:00 PM 
Thursday: 10:00 AM – 10:00 PM 
Friday: 10:00 AM – 10:00 PM 
Saturday: 10:00 AM – 10:00 PM 
Sunday: 10:00 AM – 10:00 PM",,,,,,,
bernasos stationery,,0,,0100 005 7634,+20 100 005 7634,"30 Sherif Basha, Al Fawalah, Abdeen, Cairo Governorate, Egypt",30.0522049,31.2428502,,,30,,https://maps.google.com/?cid=15243515681859537418,"Monday: 10:00 AM – 9:00 PM 
Tuesday: 10:00 AM – 9:00 PM 
Wednesday: 10:00 AM – 9:00 PM 
Thursday: 10:00 AM – 9:00 PM 
Friday: 10:00 AM – 9:00 PM 
Saturday: 10:00 AM – 9:00 PM 
Sunday: Closed",,,,,,,
